Area,VehPower,VehAge,DrivAge,Credit,FuelType,Density,Amount
B,6,0,52,770,Regular,50,735.57
A,7,8,43,770,Regular,16,234.15
A,7,10,67,765,Regular,48,770.54
A,6,9,53,770,Regular,24,956.84
A,12,5,51,770,Diesel,8,1128.12
C,5,1,79,770,Regular,240,2703.84
B,7,3,75,762,Regular,91,2462.68
B,7,3,75,762,Regular,91,2962.8
A,5,9,43,770,Diesel,35,772.17
E,7,0,54,770,Diesel,4116,1232.63
D,6,5,54,770,Regular,1102,2332.41
C,6,2,80,770,Regular,473,1128.12
D,4,12,49,770,Regular,522,63.86
C,6,1,71,758,Diesel,229,1128.12
B,4,11,86,770,Diesel,51,1128.12
C,7,13,73,770,Regular,182,1128.12
C,8,6,69,770,Regular,359,679.91
A,6,4,42,770,Diesel,28,1057.94
A,7,6,52,770,Diesel,44,240.86
A,12,12,45,758,Regular,10,1128.12
D,5,2,52,762,Diesel,1313,1368.55
B,4,15,72,770,Regular,57,504.93
C,7,11,87,751,Regular,399,1128.12
A,5,17,58,718,Regular,44,564.06
A,5,17,58,718,Regular,44,564.06
C,7,14,55,770,Regular,111,1128.12
A,8,10,49,770,Regular,12,4836.6
B,7,5,51,770,Diesel,59,215.84
A,7,7,82,770,Regular,27,500
B,9,1,62,765,Regular,91,1189.41
A,6,6,69,770,Diesel,25,1128.12
C,8,1,45,770,Diesel,106,402.79
A,7,5,72,770,Regular,26,1128.12
E,5,6,46,744,Diesel,2007,795.38
B,11,6,42,770,Regular,74,2163.72
D,7,5,50,770,Diesel,1313,2821.16
A,4,21,68,770,Regular,30,858.28
C,7,12,68,770,Regular,270,1128.12
B,6,4,46,770,Diesel,50,1128.12
D,8,6,58,765,Diesel,575,1128.12
C,11,8,53,743,Regular,165,1128.12
D,6,5,71,744,Diesel,634,1128.12
C,4,15,54,770,Regular,473,1128.12
E,7,4,49,770,Diesel,4128,3115.36
E,5,14,49,765,Regular,4128,1128.12
C,7,10,47,770,Diesel,122,569.2
B,5,4,71,770,Regular,91,716.23
C,6,6,81,770,Diesel,112,587.73
B,6,11,50,769,Regular,60,217.89
C,6,12,42,770,Regular,133,1128.12
C,4,11,43,770,Regular,196,1721.48
A,4,10,78,770,Diesel,45,10407.2
C,6,3,51,763,Regular,287,161.03
D,4,10,54,770,Regular,1182,1128.12
E,7,14,84,770,Regular,9307,1128.12
F,5,8,56,770,Diesel,27000,1128.12
C,6,5,59,747,Diesel,270,1128.12
B,7,3,51,764,Diesel,71,1128.12
A,4,12,39,770,Diesel,32,223.225
A,4,12,39,770,Diesel,32,636.23
A,4,1,54,770,Regular,40,492.97
C,4,4,70,768,Diesel,133,1128.12
C,4,5,69,770,Regular,473,1152.45
E,4,10,56,766,Regular,3386,1128.12
C,5,2,72,770,Regular,473,1128.12
F,5,1,58,756,Regular,27000,133.39
A,4,15,68,770,Regular,9,1128.12
A,4,8,39,770,Diesel,29,75.32
C,7,4,74,770,Diesel,155,1128.12
C,5,4,53,770,Diesel,128,1085.44
A,7,4,52,770,Regular,14,3407.2
C,6,2,77,770,Regular,399,366.4
C,6,1,58,770,Regular,399,68.92
A,6,6,65,758,Diesel,16,1128.12
A,7,11,55,730,Regular,30,1247.73
A,5,2,76,770,Regular,43,1128.12
A,7,15,51,770,Regular,25,92.43
C,5,12,62,770,Diesel,399,1128.12
C,7,5,63,770,Diesel,192,71.47
A,7,3,51,765,Diesel,9,1128.12
E,5,6,57,758,Diesel,4116,1250.08
C,6,3,41,770,Regular,270,1320.24
A,6,4,48,762,Diesel,13,1128.12
D,6,1,48,770,Regular,1064,1957.96
C,9,13,44,770,Diesel,394,66.32
B,5,0,64,770,Diesel,51,2839.2
A,6,3,47,770,Diesel,15,914.09
D,7,11,41,770,Regular,821,139.65
C,4,15,72,770,Regular,229,1128.12
E,6,3,38,770,Diesel,2103,1128.12
D,5,8,66,770,Regular,1192,64
C,8,6,45,770,Regular,473,3921.13
C,7,7,57,770,Regular,229,1128.12
C,6,2,58,770,Diesel,473,400.15
C,6,6,65,768,Regular,229,1128.12
C,5,6,52,770,Regular,473,564.06
C,7,3,56,770,Diesel,206,1128.12
E,5,5,43,770,Regular,4128,462.01
B,7,6,44,770,Diesel,77,1128.12
E,6,7,51,770,Regular,8884,304.9
D,6,9,80,770,Regular,1284,564.06
D,6,9,80,770,Regular,1284,132.2
E,11,7,60,769,Regular,3386,76.11
C,7,7,49,753,Diesel,165,1128.12
C,6,2,66,770,Diesel,165,1128.12
C,7,16,51,770,Diesel,240,867.21
C,5,1,45,752,Regular,481,1128.12
E,6,11,69,770,Regular,3859,1128.12
D,7,2,72,770,Regular,600,538.15
E,7,11,51,770,Regular,3457,208.13
A,4,6,51,770,Regular,36,62.56
A,4,3,75,770,Regular,28,1128.12
D,5,1,59,770,Regular,609,1128.12
C,5,6,62,770,Regular,141,79.13
C,4,5,56,770,Regular,461,42.76
A,5,13,86,762,Regular,16,1128.12
C,6,2,79,770,Diesel,118,2564.57
D,5,9,36,770,Diesel,1064,1128.12
E,5,1,54,770,Diesel,3866,7622.45
C,6,4,50,770,Diesel,282,1128.12
D,9,12,53,770,Regular,1193,1128.12
A,4,3,46,770,Regular,28,1128.12
E,9,11,29,760,Diesel,3866,3000
B,7,4,49,770,Diesel,97,84.09
D,6,10,63,770,Diesel,1398,7902.51
C,7,11,33,770,Regular,374,1472.37
C,7,17,33,743,Regular,374,1128.12
F,6,11,50,770,Regular,10156,1128.12
A,5,16,35,752,Regular,39,389.21
A,6,0,50,770,Diesel,16,1128.12
B,5,3,29,744,Regular,87,803.14
D,5,4,33,769,Diesel,1690,405.91
A,7,0,31,737,Regular,34,4817.74
D,6,10,56,759,Diesel,747,1387.24
D,6,5,25,740,Regular,634,672.48
A,6,3,25,744,Regular,39,1377.95
B,6,3,41,770,Diesel,70,564.06
A,6,13,50,770,Regular,50,97.13
F,5,3,46,770,Diesel,22669,2174.7
B,6,7,35,752,Regular,51,1128.12
C,5,5,43,730,Diesel,133,963.35
B,8,3,52,765,Diesel,90,1491.02
A,6,0,60,770,Regular,20,1865.73
A,7,9,47,770,Diesel,44,55.96
B,7,5,74,768,Regular,78,1128.12
C,11,11,46,758,Regular,298,7083.38
A,4,0,76,770,Regular,22,1128.12
B,7,5,73,738,Regular,81,50.46
C,5,2,27,746,Diesel,255,57.74
D,10,3,30,756,Diesel,614,135.7
C,5,4,67,770,Regular,126,700
A,6,13,50,770,Diesel,29,364.81
B,6,6,23,708,Diesel,61,564.06
B,6,6,23,708,Diesel,61,564.06
C,8,13,46,770,Diesel,170,1128.12
B,4,4,50,760,Regular,50,273.88
A,5,2,54,770,Diesel,13,431.18
B,7,16,74,758,Regular,67,1128.12
A,5,10,20,725,Regular,5,1128.12
A,6,9,20,673,Diesel,16,4749.75
B,7,5,29,770,Diesel,67,84.97
A,6,6,63,770,Diesel,13,1009.69
C,7,9,24,708,Regular,295,1336.655
C,7,9,24,708,Regular,295,309.855
B,4,19,38,770,Regular,50,1128.12
C,7,4,42,770,Regular,213,1393.49
B,6,6,43,765,Diesel,64,1128.12
C,4,9,31,758,Diesel,213,2081.53
A,4,6,54,743,Diesel,10,564.06
A,4,6,54,743,Diesel,10,564.06
A,5,11,61,758,Regular,23,466.51
C,4,14,77,770,Regular,451,1824.17
C,8,13,27,748,Regular,213,324.21
B,7,0,38,767,Diesel,73,1128.12
A,6,11,45,764,Diesel,23,696.7
C,7,12,52,758,Regular,213,1128.12
A,5,8,33,766,Regular,25,528.35
A,14,12,29,753,Regular,27,407.21
F,7,4,27,760,Regular,10068,1246.34
A,9,10,48,762,Diesel,22,264.53
C,5,14,38,753,Regular,213,1128.12
C,7,10,27,735,Regular,208,1128.12
A,7,5,37,770,Diesel,10,93.87
E,10,2,58,770,Regular,4116,1128.12
A,6,14,75,770,Diesel,42,1037.89
D,6,1,34,766,Diesel,1729,1128.12
E,5,2,38,756,Regular,4128,584.51
B,10,9,46,765,Diesel,92,991.68
E,6,8,35,770,Diesel,3541,1189.75
B,4,6,22,725,Regular,51,1128.12
B,9,6,33,760,Regular,64,241.34
B,5,4,31,752,Diesel,91,154.98
B,6,8,34,767,Diesel,84,1623.46
C,4,13,47,770,Regular,405,1128.12
A,6,6,34,732,Diesel,31,1128.12
E,5,11,28,763,Regular,6736,1128.12
C,5,14,35,770,Diesel,295,1128.12
A,4,1,46,743,Regular,44,1134.09
B,7,13,45,730,Regular,78,1128.12
A,6,10,45,770,Regular,22,1128.12
E,6,2,27,735,Diesel,3301,826.83
B,7,14,37,748,Regular,74,1128.12
B,9,9,53,770,Regular,65,108.64
A,7,10,19,725,Regular,40,1128.12
E,5,10,44,770,Diesel,2694,36.95
C,7,0,52,770,Diesel,101,92.37
A,7,4,40,725,Diesel,17,317.51
A,6,6,29,756,Diesel,41,4605.54
A,5,9,29,748,Diesel,42,2473.95
C,10,5,26,756,Regular,192,560.09
C,4,11,54,770,Regular,192,1128.12
C,6,1,70,770,Regular,115,2487.55
B,6,4,43,770,Diesel,51,3330.28
A,4,11,51,743,Diesel,41,1782.95
A,4,8,51,770,Regular,26,5907.42
A,6,2,47,758,Diesel,30,1128.12
E,4,18,23,695,Regular,3866,1128.12
A,4,15,48,770,Regular,42,1128.12
A,5,12,19,770,Diesel,43,1128.12
C,7,12,58,765,Diesel,222,1128.12
C,5,10,31,735,Diesel,222,2652.61
B,5,1,61,758,Diesel,53,1128.12
C,10,8,34,770,Regular,186,1128.12
F,4,2,29,740,Regular,27000,1128.12
C,8,13,32,770,Regular,380,71.47
D,6,17,32,761,Regular,1064,1128.12
B,6,17,43,713,Regular,82,1128.12
D,6,6,28,756,Diesel,741,3848.47
D,5,2,28,770,Diesel,741,329.2
D,5,11,30,735,Regular,741,1128.12
C,7,5,54,770,Diesel,335,1496.45
A,6,3,51,759,Diesel,48,1128.12
E,7,2,74,770,Regular,3866,1128.12
E,7,14,32,688,Regular,4478,564.06
A,7,14,55,752,Regular,21,1399.65
A,7,7,57,770,Diesel,13,172.25
B,6,6,50,750,Diesel,51,1128.12
A,7,2,48,728,Diesel,20,1128.12
D,4,2,53,734,Regular,1313,1128.12
A,6,3,47,770,Diesel,43,65.27
A,5,6,42,770,Diesel,22,1128.13
D,6,2,56,770,Diesel,1440,1128.12
C,4,5,50,768,Regular,295,1128.12
C,8,16,39,744,Regular,295,1187.79
C,6,5,43,762,Diesel,399,1128.12
D,9,4,65,770,Regular,1054,1128.12
A,6,11,26,756,Regular,44,245.99
B,5,5,29,756,Diesel,84,148.79
D,7,4,45,770,Regular,1054,757.58
A,7,2,31,769,Diesel,28,507.65
C,4,13,77,768,Regular,137,681.62
A,6,2,64,758,Diesel,30,1191.57
A,7,15,51,769,Regular,44,1128.12
C,10,8,23,725,Diesel,308,614.49
A,7,12,29,735,Regular,44,327.79
D,5,3,29,765,Diesel,1054,255.43
B,7,1,67,770,Diesel,72,883.34
B,7,1,67,770,Diesel,72,188.215
A,7,2,53,770,Regular,44,915.82
D,6,11,47,744,Diesel,1408,1128
E,7,11,50,720,Regular,3374,1128.12
D,8,15,42,770,Regular,1408,102.72
D,7,14,39,708,Regular,713,1128.12
C,5,6,41,770,Diesel,444,21.15
C,12,0,49,770,Diesel,490,1128.12
C,6,16,59,748,Regular,167,1128.12
D,4,16,50,770,Regular,1408,1128.12
C,5,3,30,752,Diesel,167,1023.89
D,10,12,47,742,Regular,1199,4343.73
D,4,11,59,770,Diesel,1408,92.77
D,13,14,33,769,Regular,713,564.06
D,13,14,33,769,Regular,713,564.06
D,8,16,59,758,Diesel,575,1128.12
A,8,8,26,744,Regular,38,1208.7
A,7,9,36,757,Diesel,23,187.89
C,6,1,48,769,Regular,287,475.73
C,6,1,48,769,Regular,287,139.055
C,6,14,41,759,Regular,287,424.26
C,6,11,33,735,Diesel,136,1128.12
D,6,13,41,770,Regular,575,1987.24
D,5,20,46,770,Regular,541,1128.12
B,7,5,43,762,Diesel,65,1128.12
B,5,10,39,770,Diesel,98,1392.37
D,8,4,56,770,Diesel,747,229.69
C,4,5,33,759,Diesel,247,1106.4
C,5,18,40,770,Regular,359,1128.12
C,10,2,39,770,Diesel,247,1128.12
D,7,2,28,770,Regular,747,890.29
D,5,4,65,770,Regular,747,1128.12
C,7,3,35,750,Regular,165,1128.12
C,7,12,32,708,Diesel,165,1580.23
D,7,10,38,744,Diesel,747,1128.12
C,5,12,28,732,Diesel,165,626.7
B,5,4,46,770,Diesel,98,1128.12
C,7,3,39,770,Regular,431,921.31
E,4,13,49,730,Regular,3021,1128.12
C,6,10,38,744,Diesel,277,1190.15
C,6,14,38,739,Diesel,277,564
C,4,2,47,765,Regular,359,1128.12
F,4,7,27,766,Regular,27000,1472.37
C,7,8,26,725,Regular,165,3195.03
C,5,8,55,770,Diesel,287,1128.12
D,7,3,39,770,Diesel,747,1825.08
D,8,1,48,770,Diesel,747,1936.46
C,4,11,21,720,Regular,165,986.46
D,7,5,36,757,Regular,1313,1128.12
B,7,15,37,770,Regular,57,1128.12
B,7,9,32,770,Regular,86,1433.02
D,7,5,45,770,Regular,1974,1374.08
A,6,5,45,714,Diesel,21,4272.37
C,6,12,23,740,Regular,435,1128.12
C,6,5,37,770,Diesel,435,243.52
D,7,7,37,770,Diesel,1974,2814.71
D,5,11,42,758,Diesel,798,1128.12
D,5,3,24,756,Diesel,1974,2589.5
F,4,6,54,770,Regular,27000,474.22
A,7,15,35,725,Diesel,18,1128.12
A,4,12,40,770,Regular,20,1128.12
C,11,3,48,770,Diesel,214,1128.12
C,5,10,35,725,Diesel,220,1128.13
E,5,6,53,753,Diesel,2362,1128.12
E,5,3,30,763,Diesel,4128,1128.12
C,7,11,28,744,Diesel,220,533.57
B,6,4,61,770,Diesel,81,1128.12
A,10,3,36,767,Diesel,8,3687.53
A,6,3,42,738,Diesel,35,1128.12
A,6,4,33,766,Regular,10,2075.68
C,5,5,51,770,Regular,214,1128.12
C,5,6,21,714,Regular,214,1128.12
A,5,8,24,725,Regular,43,1128.12
C,6,9,33,766,Diesel,214,623.56
C,5,24,20,714,Regular,214,1128.12
A,7,14,37,764,Regular,30,1199.39
A,9,11,37,733,Regular,30,1128.12
C,7,13,24,744,Regular,214,531.32
A,4,4,56,770,Regular,16,564.06
B,5,6,29,740,Diesel,86,1128.12
C,5,9,50,766,Diesel,346,1128.12
C,7,3,50,746,Diesel,346,1128.12
C,8,9,21,672,Regular,214,1128.12
A,4,1,63,770,Regular,25,39
A,6,5,27,749,Diesel,6,1087.56
A,5,7,27,748,Diesel,11,1077.15
A,6,3,30,752,Diesel,48,153.83
D,7,14,45,743,Regular,741,3230.1
D,7,2,35,766,Regular,1600,1128.12
E,6,1,24,725,Regular,6689,1128.12
C,6,9,37,770,Regular,126,373.36
A,5,1,23,740,Diesel,24,1280.57
C,6,7,34,739,Diesel,153,90.27
C,8,12,44,770,Diesel,153,1128.12
B,6,10,31,770,Regular,93,1128.12
C,7,7,41,706,Regular,153,2037.72
C,7,2,81,762,Regular,104,630.46
B,10,5,44,767,Diesel,94,91.71
C,5,14,45,770,Regular,105,2715.79
A,6,9,35,770,Diesel,27,1128.12
C,7,10,37,770,Regular,105,309.29
C,5,11,19,695,Regular,203,8363.96
D,9,13,31,752,Regular,1313,4602.32
C,4,8,36,770,Regular,282,25.66
F,6,2,29,725,Diesel,15703,1163.61
D,9,9,40,752,Regular,1064,1128.12
C,7,7,59,744,Regular,373,319.21
C,5,4,62,751,Diesel,105,1128.12
C,5,9,35,756,Diesel,105,1128.12
A,7,4,41,770,Diesel,27,586.08
D,6,6,37,758,Diesel,1313,1128.12
C,4,0,20,725,Diesel,105,335.33
C,6,14,46,770,Regular,435,1128.12
A,6,8,47,770,Diesel,25,1128.12
C,6,1,54,770,Diesel,128,3921.7
C,5,4,32,751,Diesel,362,1303.48
D,4,10,67,770,Regular,1974,1128.12
C,9,15,54,770,Regular,128,1827.99
D,10,8,26,730,Diesel,826,1128.12
B,5,6,23,735,Regular,64,92.91
D,4,6,47,730,Regular,1974,256.67
B,6,8,20,725,Diesel,81,1128.12
C,5,20,51,725,Regular,230,1128.12
D,5,7,52,763,Diesel,1974,1643.48
D,6,12,51,720,Regular,1974,868.93
D,10,9,27,752,Diesel,1974,1128.12
A,7,6,34,763,Regular,29,399.66
B,6,8,22,714,Diesel,88,1128.12
B,7,7,75,732,Regular,80,1128.12
C,5,2,27,735,Regular,298,286.51
D,4,12,40,752,Regular,1974,2237.49
B,6,7,58,770,Diesel,85,913.52
E,4,4,31,752,Regular,3541,1120.12
C,5,13,22,708,Regular,213,84.56
D,5,1,58,770,Diesel,657,641.72
D,5,8,49,770,Diesel,657,1128.12
D,6,6,51,770,Regular,657,1206.53
A,5,8,45,770,Diesel,20,1128.12
D,13,2,49,765,Regular,657,1128.12
D,9,14,43,720,Regular,657,1128.12
D,4,1,27,735,Diesel,965,59.61
A,10,13,27,740,Regular,12,956.6
D,9,14,34,735,Regular,657,1128.12
B,7,12,52,730,Regular,57,1128.12
E,7,3,45,770,Regular,2694,77.12
C,4,6,29,725,Diesel,393,2132.54
E,6,5,42,770,Diesel,4116,787.17
D,6,16,46,735,Diesel,1313,2280.57
A,6,5,23,735,Diesel,15,4644.02
B,11,4,37,758,Diesel,72,1128.12
B,5,9,54,770,Diesel,84,75.32
F,6,2,35,753,Regular,27000,1128.12
D,7,4,60,770,Diesel,1341,459.14
D,6,11,47,770,Diesel,1313,364.81
B,7,1,46,767,Diesel,84,1128.12
A,7,7,65,770,Regular,30,1745.23
C,7,4,54,770,Regular,214,1733.76
C,6,4,53,770,Diesel,105,324.04
A,5,10,24,748,Diesel,19,156.68
C,6,4,41,770,Regular,214,1128.12
C,6,7,41,748,Diesel,208,1430.17
D,6,3,29,763,Regular,1693,65.64
E,10,10,55,756,Regular,5449,1863.17
D,7,13,42,729,Regular,1695,1128.12
C,5,4,55,768,Diesel,382,1128.12
E,6,2,63,770,Regular,5449,3518.73
E,8,9,30,756,Diesel,5449,70.78
C,5,1,63,770,Regular,263,2723.29
C,9,3,60,681,Regular,382,1128.12
D,4,5,25,748,Regular,1557,1128.12
D,10,3,32,762,Diesel,1328,2354.13
E,6,22,32,708,Regular,2472,1372.04
E,6,10,60,756,Diesel,5449,98.23
D,8,2,68,770,Regular,745,12696.8
E,7,10,53,735,Diesel,5449,8009.82
D,7,1,43,765,Diesel,745,4573.47
C,8,9,52,762,Regular,206,1128.12
D,5,3,57,758,Diesel,681,1727.13
E,5,3,50,770,Regular,2252,1128.12
C,9,2,49,759,Regular,206,52.75
D,5,2,55,770,Regular,1485,1128.12
E,6,13,52,744,Diesel,2252,1128.12
D,9,0,32,763,Diesel,1369,1668.01
B,5,12,21,735,Diesel,78,1128.12
C,7,12,45,758,Regular,141,1128.12
C,4,12,44,755,Regular,141,1128.12
B,7,8,36,748,Diesel,85,602.17
E,7,12,39,749,Diesel,2252,1128.12
F,6,5,37,725,Diesel,17140,1128.12
F,7,3,37,681,Diesel,17140,1128.12
C,10,1,40,762,Diesel,421,1706.06
E,5,7,41,770,Diesel,4116,1128.12
E,6,6,26,730,Diesel,4116,1390.42
C,6,13,21,695,Diesel,358,1128.12
E,6,7,48,770,Diesel,4116,35.1
E,6,7,48,770,Diesel,4116,564.06
D,6,5,32,725,Diesel,754,2074.64
E,5,6,41,754,Regular,4116,1729.16
D,5,5,26,744,Diesel,1109,1128.12
D,7,13,30,735,Regular,1109,1128.12
E,4,8,38,770,Regular,4116,1128.12
D,5,12,49,770,Regular,632,564.06
E,7,11,28,735,Regular,4116,1128.12
C,5,12,33,753,Diesel,370,1128
E,5,1,28,752,Diesel,6465,149.72
E,5,7,61,750,Regular,4116,3507.13
D,7,12,46,766,Regular,1600,64.34
D,7,10,47,752,Diesel,1109,192.16
C,7,2,36,770,Diesel,168,1128.12
E,6,14,43,756,Diesel,4116,1128.12
E,7,11,54,753,Diesel,4116,1495.88
C,6,15,25,763,Regular,120,493.97
E,4,1,22,702,Regular,4116,1128.12
E,4,1,22,702,Regular,4116,1520.13
A,4,11,20,695,Diesel,37,129.32
C,9,3,56,747,Diesel,421,1128.12
C,10,8,37,764,Diesel,286,1128.12
D,7,12,42,735,Regular,754,1020.65
D,7,1,30,744,Diesel,821,1128.12
E,4,12,43,744,Regular,5053,1128.12
C,7,10,34,770,Regular,421,37.12
D,6,2,28,730,Diesel,1332,1128.12
D,6,13,55,714,Regular,1867,1128.12
C,7,1,56,715,Diesel,307,564.06
C,7,1,56,715,Diesel,307,2307.395
A,9,24,24,725,Diesel,26,1128.12
C,7,7,69,762,Diesel,168,1128.12
C,4,11,36,770,Regular,168,1128.12
A,4,3,49,752,Regular,10,844.77
E,7,11,32,735,Regular,4116,77.49
A,5,5,45,770,Diesel,44,1128.12
A,8,0,38,717,Diesel,22,1128.12
A,8,0,38,717,Diesel,22,2693.32
F,6,7,26,760,Diesel,12374,177.38
C,6,8,30,735,Diesel,115,1423.815
C,6,8,30,735,Diesel,115,564.06
C,5,12,37,758,Regular,175,1128.12
B,6,4,23,735,Diesel,55,4114.97
A,7,11,46,770,Regular,48,1128.12
D,5,6,51,770,Regular,776,244.49
C,5,0,62,708,Diesel,478,12142.1
D,5,5,56,770,Regular,1601,3052.27
B,7,6,39,770,Diesel,79,1128.12
D,5,6,35,765,Regular,586,1454.08
D,5,6,31,757,Diesel,776,1128.12
C,4,10,36,758,Diesel,478,406.8
