Gender,HP,Credit,Years,Marital,Vehicle,Miles,Family,Accident
F,89,725,15,Married,Truck,11340,4,No
M,429,774,3,Married,Van,8484,8,No
F,118,761,23,Married,Car,6688,8,No
F,113,744,3,Married,Car,17515,3,No
F,116,755,38,Married,Truck,7766,5,No
F,102,721,17,Married,Truck,8192,5,No
M,208,723,5,Married,Car,41321,8,No
F,154,739,30,Single,Car,7595,4,No
F,146,677,13,Married,Car,6482,4,No
F,126,788,6,Married,Car,22711,4,No
M,454,442,3,Married,Car,11195,3,No
F,663,695,30,Married,Car,23856,4,No
M,153,705,23,Married,Van,12523,4,No
F,160,689,24,Married,Car,10731,5,No
M,89,678,31,Married,Van,12567,7,No
M,156,710,10,Married,Van,14186,7,No
F,117,680,25,Married,Car,9470,5,No
F,104,724,20,Married,Truck,13639,2,No
M,502,790,6,Married,Van,11317,8,No
M,119,759,22,Married,Van,8674,6,No
M,327,483,4,Married,Car,12668,5,No
M,127,726,9,Married,Utility,42193,1,No
M,111,727,12,Married,Van,13779,6,No
M,114,706,18,Married,Car,9431,5,No
M,106,650,6,Married,Truck,37318,3,No
F,645,722,39,Married,Car,18222,6,No
F,84,700,20,Single,Car,6829,6,No
M,105,719,19,Married,Van,12602,3,No
M,121,824,6,Single,Utility,11845,1,No
M,93,749,18,Single,Utility,12834,7,No
F,585,678,34,Married,Car,20841,1,No
F,106,707,12,Married,Car,10241,2,No
M,135,563,3,Single,Car,17409,4,No
M,157,693,11,Married,Van,7992,6,No
M,146,785,5,Married,Van,8063,4,No
M,499,614,3,Married,Car,14107,1,No
M,132,790,22,Married,Van,14368,4,No
M,420,498,2,Single,Utility,11199,3,No
M,130,671,11,Married,Utility,8648,2,No
M,155,694,5,Married,Car,46480,4,No
F,618,725,6,Married,Car,16213,5,No
M,156,816,2,Single,Car,14452,3,No
M,136,702,10,Married,Van,29915,6,No
M,127,678,32,Married,Van,9596,6,No
M,323,825,1,Married,Car,10890,8,No
F,123,786,40,Married,Truck,6162,6,No
M,90,758,25,Married,Van,12801,8,No
F,299,660,6,Single,Truck,14135,6,No
F,87,783,39,Married,Truck,7728,5,No
M,159,699,24,Married,Truck,10729,4,No
F,279,651,5,Single,Truck,14104,8,No
M,101,725,6,Single,Utility,14248,5,No
M,130,764,13,Married,Van,10452,6,No
F,123,683,36,Married,Car,7922,6,No
M,160,717,20,Married,Truck,14170,3,No
F,122,745,23,Married,Car,11380,1,No
M,82,800,19,Single,Utility,13124,3,No
F,99,686,20,Married,Car,9564,2,No
M,147,674,23,Married,Truck,12213,5,No
F,341,697,8,Married,Truck,55427,1,No
F,218,623,8,Single,Truck,18555,1,No
F,513,726,40,Married,Truck,11393,6,No
F,436,545,7,Single,Utility,11191,8,No
M,324,324,4,Married,Car,14482,4,No
M,95,783,16,Married,Van,10739,4,No
F,131,692,37,Single,Car,12383,4,No
F,99,739,23,Married,Car,12466,7,No
M,92,691,5,Single,Utility,10125,3,No
F,114,725,20,Married,Car,5808,1,No
M,125,720,22,Single,Utility,13619,3,No
F,86,712,36,Married,Truck,7751,5,No
M,149,799,7,Single,Utility,14287,5,No
F,541,671,31,Married,Truck,12681,2,No
M,102,791,15,Married,Van,13953,6,No
F,92,737,21,Married,Truck,9340,4,No
M,80,796,23,Married,Van,10684,2,No
M,138,798,18,Married,Van,7711,6,No
M,88,741,19,Married,Van,14091,8,No
M,151,791,10,Married,Truck,9194,7,No
F,97,731,15,Married,Car,7020,4,No
F,85,680,17,Married,Car,9857,8,No
M,130,683,8,Married,Van,78393,4,No
M,81,504,5,Married,Utility,48959,8,No
M,132,783,5,Single,Utility,11345,1,No
F,323,598,5,Single,Truck,11917,1,No
F,83,726,15,Married,Truck,5835,2,No
F,123,706,19,Married,Car,12394,3,No
F,388,585,7,Single,Truck,13339,7,No
F,132,681,17,Married,Truck,5423,1,No
M,146,717,8,Married,Utility,43172,6,No
F,131,753,25,Married,Car,8699,4,No
F,150,672,18,Married,Car,11693,7,No
F,126,694,12,Single,Car,40233,7,No
M,248,733,8,Married,Utility,26125,4,No
F,154,786,5,Married,Truck,13685,5,No
M,115,716,20,Married,Van,7962,6,No
F,138,745,10,Married,Car,8897,3,No
M,148,638,7,Married,Truck,20792,4,No
F,637,677,5,Married,Car,23481,8,No
F,303,430,7,Single,Truck,15631,7,No
F,125,747,10,Married,Car,17943,7,No
M,109,786,16,Married,Van,6848,1,No
F,118,771,10,Married,Car,10196,2,No
M,107,685,30,Married,Truck,9695,7,No
F,134,766,5,Married,Truck,11410,1,No
F,154,767,13,Married,Truck,5352,2,No
M,129,742,37,Married,Van,7167,7,No
M,252,539,1,Married,Van,63330,5,No
M,117,681,17,Married,Van,7811,2,No
M,109,742,19,Married,Van,12547,7,No
F,141,708,39,Married,Car,11657,7,No
M,99,698,11,Married,Van,6185,3,No
M,110,709,22,Married,Van,11186,8,No
F,139,766,30,Married,Car,16387,8,No
F,137,695,19,Married,Truck,12506,8,No
F,347,518,5,Single,Truck,12058,7,No
F,684,582,2,Married,Truck,9543,3,No
M,93,670,28,Married,Truck,6647,6,No
F,125,734,22,Single,Car,7579,4,No
M,103,737,31,Single,Utility,11678,7,No
F,134,703,40,Married,Car,8183,6,No
F,111,758,35,Single,Car,14460,2,No
F,118,755,20,Married,Truck,13487,5,No
F,97,723,13,Married,Car,10406,2,No
M,80,751,13,Married,Van,8978,6,No
M,142,705,20,Married,Van,11665,7,No
M,125,679,24,Married,Van,13758,8,No
M,107,746,23,Married,Van,5764,4,No
M,168,627,3,Single,Car,12141,6,No
F,81,794,13,Married,Truck,7150,8,No
M,196,638,3,Single,Car,13250,3,No
F,104,723,5,Married,Car,66306,6,No
M,176,598,5,Single,Car,14914,8,No
M,119,712,11,Married,Utility,5619,1,No
M,104,697,22,Single,Utility,14672,7,No
M,108,790,20,Married,Utility,13209,1,No
M,155,779,21,Married,Van,14728,6,No
F,119,763,19,Married,Truck,15982,6,No
F,102,719,15,Married,Car,12336,6,No
M,136,766,25,Single,Utility,7176,3,No
F,132,746,15,Married,Car,10958,5,No
M,395,559,2,Single,Car,10685,3,No
M,142,765,10,Married,Van,14645,6,No
F,137,705,21,Married,Car,13836,2,No
M,144,748,19,Married,Van,13190,8,No
F,81,768,16,Single,Car,6209,3,No
M,149,714,37,Married,Truck,14721,5,No
M,130,683,15,Married,Van,8611,8,No
F,691,720,15,Married,Car,18185,1,No
M,236,640,1,Married,Car,16290,6,No
F,158,794,10,Married,Car,15372,6,No
M,116,676,35,Married,Van,11042,7,No
M,116,749,22,Married,Van,13468,6,No
M,490,763,4,Married,Truck,6255,7,No
F,156,715,14,Married,Car,6250,6,No
F,379,659,8,Single,Truck,10365,6,No
M,119,762,22,Single,Utility,9510,2,No
F,114,684,20,Married,Car,14850,6,No
F,160,774,15,Married,Truck,9524,1,No
M,312,705,8,Married,Utility,57167,4,No
M,103,677,3,Single,Utility,10973,5,No
M,100,432,8,Married,Truck,14472,4,No
F,120,700,18,Married,Car,13141,6,No
F,141,757,4,Married,Car,12826,3,No
M,198,738,4,Single,Car,10996,4,No
F,112,785,24,Married,Car,23758,8,No
M,135,672,35,Married,Van,12635,8,No
M,145,790,40,Married,Van,7646,3,No
M,150,672,20,Married,Utility,10815,1,No
M,148,722,19,Single,Utility,14216,5,No
F,84,776,23,Married,Truck,6401,2,No
M,103,788,17,Married,Van,8657,5,No
M,87,837,23,Single,Utility,14655,5,No
F,113,790,12,Married,Truck,9481,6,No
M,128,682,9,Married,Utility,30268,8,No
F,114,782,23,Married,Car,11584,2,No
F,129,703,14,Married,Truck,7553,1,No
F,119,762,22,Married,Car,5698,1,No
M,206,341,1,Married,Car,12658,7,No
M,155,798,6,Married,Utility,10432,3,No
F,415,339,5,Single,Truck,10915,5,No
M,137,718,16,Married,Van,13848,5,No
M,271,602,2,Single,Car,94844,7,No
M,105,754,5,Married,Van,13663,2,No
M,323,631,4,Married,Car,10953,3,No
M,136,758,24,Married,Utility,13223,2,No
M,121,753,24,Married,Utility,6148,2,No
M,132,777,30,Single,Utility,14242,3,No
M,626,581,1,Married,Van,11269,7,No
M,135,751,14,Single,Utility,8112,6,No
M,158,747,16,Married,Truck,9130,1,No
M,98,782,35,Married,Van,6753,2,No
F,155,741,29,Married,Car,19075,2,No
F,204,641,8,Single,Truck,14756,5,No
F,141,686,5,Married,Truck,81673,1,No
F,99,308,5,Single,Van,10844,6,No
M,115,682,17,Married,Van,11360,3,No
M,275,688,3,Married,Car,13076,6,No
F,102,748,17,Married,Car,9534,3,No
F,119,716,21,Married,Car,12635,3,No
M,142,634,7,Married,Truck,71556,2,No
F,155,776,20,Single,Car,8942,1,No
M,124,723,12,Married,Van,25768,1,No
F,304,684,4,Married,Truck,54295,4,No
F,326,697,8,Single,Truck,11164,2,No
M,125,686,21,Married,Van,5974,3,No
M,123,826,2,Single,Car,14388,5,No
F,84,683,20,Married,Car,8271,6,No
F,293,675,8,Married,Car,54820,3,No
M,205,689,5,Single,Car,12197,3,No
F,467,670,5,Single,Truck,11764,5,No
M,251,585,3,Married,Car,13474,2,No
F,589,700,9,Married,Car,18819,7,No
F,82,678,25,Married,Car,22129,4,No
M,105,713,25,Married,Truck,6956,7,No
F,132,760,25,Married,Truck,12957,6,No
F,224,707,25,Married,Car,14571,3,No
M,148,791,9,Single,Utility,11883,7,No
F,134,747,7,Single,Car,9225,6,No
F,299,707,5,Single,Truck,14757,3,No
F,227,407,8,Single,Truck,13354,3,No
F,131,719,5,Married,Car,42531,4,No
F,155,680,18,Married,Car,13775,7,No
F,128,783,2,Married,Car,19837,8,No
F,133,758,9,Married,Truck,9286,7,No
M,148,788,23,Married,Van,9656,5,No
M,251,567,4,Married,Van,91972,1,No
M,151,755,19,Married,Van,10325,5,No
M,145,787,31,Single,Utility,10361,5,No
M,238,736,4,Single,Car,10250,7,No
F,427,693,31,Married,Truck,8153,5,No
M,188,706,2,Single,Car,11063,5,No
M,140,779,8,Married,Van,14210,5,No
M,123,754,33,Married,Van,5632,1,No
M,125,697,34,Married,Van,6223,7,No
F,256,702,3,Married,Car,54119,1,No
M,367,675,4,Single,Car,12023,1,No
M,120,697,25,Married,Van,10490,4,No
M,145,770,6,Married,Van,13831,2,No
M,142,792,11,Married,Truck,14752,7,No
M,107,675,5,Married,Van,6252,3,No
M,92,767,24,Married,Van,11021,4,No
F,113,788,15,Married,Car,8572,1,No
F,153,747,23,Married,Car,9028,7,No
M,124,712,34,Married,Truck,11947,3,No
F,525,723,16,Married,Car,19965,4,No
F,150,713,16,Married,Car,10398,1,No
M,123,798,24,Married,Van,9276,4,No
M,273,610,5,Single,Car,14672,4,No
M,83,670,39,Married,Truck,13243,5,No
F,113,742,20,Married,Car,13233,1,No
M,132,783,10,Married,Truck,9165,8,No
M,86,682,4,Married,Van,6555,8,No
M,136,789,16,Single,Utility,12457,4,No
M,136,778,14,Single,Utility,14372,8,No
F,418,693,32,Married,Car,6300,4,No
M,154,785,5,Married,Van,7669,8,No
F,421,696,28,Married,Truck,19387,5,No
F,136,718,13,Married,Car,6313,7,No
M,246,665,5,Married,Car,13177,8,No
M,135,661,5,Married,Truck,48015,6,No
F,134,725,28,Married,Car,7424,3,No
F,159,788,21,Married,Truck,8516,1,No
M,675,636,7,Married,Van,9797,3,No
M,619,681,38,Married,Van,5319,7,No
F,399,821,5,Single,Truck,24148,2,No
M,149,689,18,Married,Truck,13454,1,No
F,139,739,24,Married,Car,8456,8,No
F,144,737,24,Married,Car,6086,8,No
F,157,673,24,Married,Truck,14059,1,No
M,152,723,20,Married,Van,12089,3,No
F,96,724,37,Married,Truck,5410,1,No
M,148,805,39,Single,Utility,7288,4,No
M,480,584,2,Married,Car,33142,1,No
M,113,791,32,Married,Utility,7120,5,No
F,512,736,36,Married,Car,14512,3,No
M,202,328,4,Married,Car,14365,5,No
F,323,334,6,Single,Truck,12690,1,No
F,649,682,19,Married,Car,24384,4,No
F,159,721,40,Single,Car,8537,2,No
F,83,684,24,Married,Truck,5627,5,No
F,109,728,19,Married,Car,9578,8,No
M,148,689,21,Single,Utility,7984,8,No
M,94,791,14,Married,Truck,13465,3,No
F,147,792,5,Married,Truck,14672,1,No
F,202,639,8,Single,Truck,14330,8,No
M,151,792,13,Single,Utility,5959,5,No
M,92,770,19,Married,Van,10357,3,No
M,91,717,10,Married,Van,13220,3,No
M,90,679,5,Married,Van,82905,1,No
F,107,771,37,Married,Car,9057,3,No
M,129,756,9,Married,Utility,10076,8,No
M,487,651,1,Single,Utility,87055,7,No
F,151,775,21,Married,Truck,10984,7,No
F,561,683,32,Married,Car,8234,2,No
F,113,780,25,Married,Car,24787,1,No
F,160,763,5,Married,Truck,21686,6,No
M,91,740,17,Single,Utility,12104,3,No
M,98,670,20,Married,Truck,6278,4,No
F,88,677,21,Single,Car,14521,4,No
M,102,766,13,Married,Van,8235,1,No
M,153,738,31,Married,Truck,7974,2,No
M,268,731,7,Married,Truck,34227,6,No
F,117,720,17,Married,Car,9586,5,No
F,132,754,13,Married,Car,11759,2,No
M,313,735,6,Married,Van,72401,1,No
M,123,742,27,Married,Utility,10205,7,No
F,146,689,22,Married,Car,8202,4,No
F,144,674,5,Married,Car,22370,3,No
M,305,541,1,Married,Van,71482,6,No
F,140,769,24,Single,Car,14259,6,No
F,282,704,6,Single,Truck,13009,8,No
M,150,718,14,Married,Van,14230,7,No
M,139,675,18,Married,Utility,8850,5,No
F,96,705,19,Married,Truck,8084,4,No
F,101,697,31,Married,Truck,8604,6,No
M,95,751,31,Married,Van,14398,4,No
M,105,682,14,Married,Van,10441,3,No
M,114,678,36,Single,Utility,14208,3,No
F,94,798,17,Married,Car,13239,1,No
M,103,802,3,Single,Utility,6596,8,No
F,80,774,14,Married,Car,10993,3,No
M,138,794,17,Single,Utility,6175,6,No
F,82,743,37,Married,Car,8355,3,No
F,95,749,6,Married,Car,6617,4,No
F,230,725,8,Single,Truck,12688,4,No
F,83,799,4,Married,Car,15635,2,No
M,104,675,15,Married,Truck,9092,8,No
M,232,658,5,Single,Car,14399,8,No
M,150,676,10,Married,Van,13605,1,No
F,122,722,23,Married,Car,11579,2,No
F,132,736,17,Married,Truck,8622,4,No
M,119,497,4,Single,Car,11065,5,No
M,86,690,16,Married,Van,11606,4,No
M,114,671,17,Married,Van,6695,3,No
M,84,690,32,Married,Van,11499,2,No
F,489,664,8,Single,Truck,14244,2,No
F,106,704,24,Married,Truck,12109,1,No
M,181,399,5,Single,Car,21699,3,No
M,152,767,6,Married,Van,10047,2,No
F,363,703,6,Single,Truck,13229,1,No
F,87,798,15,Single,Car,5498,2,No
M,88,530,5,Married,Truck,91097,1,No
M,251,633,2,Married,Car,17075,2,No
F,142,720,24,Married,Car,14998,8,No
M,138,747,5,Single,Utility,13243,8,No
M,103,752,20,Married,Van,12480,1,No
M,152,731,22,Married,Van,8914,4,No
F,113,787,15,Married,Car,21729,2,No
M,155,731,5,Married,Truck,80788,1,No
M,135,767,23,Married,Utility,13426,7,No
M,114,779,14,Married,Truck,13018,3,No
M,121,761,24,Single,Utility,5905,8,No
M,140,693,12,Married,Van,5329,7,No
F,293,721,8,Married,Truck,72367,1,No
M,158,684,12,Married,Van,12372,1,No
M,128,823,18,Single,Utility,8057,6,No
F,208,677,8,Married,Car,81144,3,No
M,145,688,16,Married,Truck,5394,5,No
M,381,661,4,Married,Car,11368,3,No
F,125,767,33,Married,Car,6057,5,No
F,98,689,20,Married,Car,11964,7,No
F,578,688,19,Married,Car,23689,5,No
F,123,749,20,Married,Car,11581,1,No
F,135,729,28,Married,Car,13365,2,No
F,355,729,38,Married,Car,15202,1,No
F,132,698,8,Married,Truck,43253,8,No
F,383,676,7,Single,Van,11761,8,No
F,146,755,13,Married,Truck,15124,3,No
M,139,741,15,Married,Truck,14870,5,No
F,119,717,22,Married,Car,14630,4,No
F,143,771,19,Married,Car,18502,3,No
F,140,732,25,Married,Truck,9523,1,No
M,133,722,16,Married,Van,13704,5,No
F,105,704,35,Married,Car,5871,8,No
M,105,671,22,Married,Van,14131,1,No
M,118,748,11,Married,Utility,5675,6,No
M,110,758,20,Married,Truck,12634,6,No
M,160,796,18,Married,Van,14005,5,No
F,144,760,12,Married,Truck,10224,8,No
M,461,576,1,Married,Car,13251,1,No
M,95,687,11,Married,Van,6366,3,No
M,146,705,36,Married,Car,13677,2,No
M,83,796,16,Single,Utility,10913,2,No
F,495,305,7,Single,Truck,14967,6,No
M,304,580,4,Married,Car,11355,8,No
M,143,741,20,Married,Van,11711,1,No
M,118,684,6,Single,Utility,14760,1,No
M,80,732,22,Married,Van,10425,3,No
F,650,707,31,Married,Truck,13947,4,No
F,151,682,11,Married,Car,8966,1,No
M,148,702,24,Single,Utility,11971,3,No
M,173,585,4,Single,Car,11335,4,No
M,137,783,25,Married,Van,11692,6,No
M,119,746,22,Married,Van,14897,4,No
F,111,763,19,Single,Car,14103,8,No
M,375,634,4,Married,Car,12887,7,No
F,81,700,22,Married,Car,10600,3,No
F,234,646,7,Single,Truck,11098,4,No
F,86,795,15,Single,Car,5816,1,No
F,112,799,3,Married,Truck,11150,3,No
F,128,788,15,Married,Car,5278,4,No
F,809,608,2,Single,Car,8450,5,No
M,351,630,4,Single,Car,14684,6,No
M,200,373,1,Married,Car,11296,5,No
M,101,703,23,Married,Utility,11626,6,No
M,150,674,27,Married,Van,10597,3,No
M,143,790,35,Single,Utility,13407,7,No
F,630,694,32,Single,Car,10996,3,No
M,227,594,3,Married,Car,10471,6,No
M,123,771,19,Married,Truck,13642,7,No
M,88,704,10,Married,Van,92075,7,No
F,126,712,17,Single,Car,6707,5,No
M,82,796,40,Married,Truck,9099,4,No
M,116,685,2,Married,Van,6664,2,No
M,500,839,1,Married,Car,16944,4,No
F,151,671,17,Married,Car,11054,1,No
F,146,798,23,Married,Car,15560,2,No
M,112,768,20,Married,Truck,5890,1,No
M,608,680,38,Married,Van,12909,4,No
M,90,780,10,Married,Van,13258,5,No
M,107,699,11,Married,Van,9610,8,No
F,279,553,2,Married,Car,33646,5,No
M,116,779,18,Married,Van,8557,2,No
F,297,674,7,Married,Car,82856,3,No
M,487,573,5,Single,Car,13735,8,No
M,278,689,5,Married,Van,79123,6,No
M,359,369,3,Single,Utility,12318,7,No
F,142,764,37,Married,Truck,6138,4,No
M,429,646,3,Married,Car,12381,8,No
F,151,705,17,Married,Car,10207,6,No
M,301,642,1,Single,Car,23165,4,No
M,91,721,17,Single,Utility,8049,6,No
M,107,846,25,Single,Utility,12867,7,No
F,101,730,16,Married,Truck,8632,8,No
F,301,648,5,Single,Truck,23464,2,No
F,125,681,18,Single,Car,8985,4,No
F,462,451,6,Single,Truck,14247,7,No
M,143,689,13,Married,Van,55802,2,No
F,182,654,5,Single,Van,14969,3,No
F,140,784,11,Married,Truck,12267,4,No
F,556,691,33,Married,Car,8690,5,No
F,153,725,22,Married,Car,11580,8,No
M,80,757,17,Married,Van,9461,4,No
M,91,680,7,Married,Truck,8059,6,No
M,92,670,16,Married,Van,14527,7,No
M,150,775,17,Single,Utility,10990,2,No
M,141,703,24,Single,Utility,8686,8,No
F,137,690,7,Married,Truck,90351,8,No
M,134,782,20,Single,Utility,7419,6,No
M,217,505,2,Married,Van,68643,6,No
