age,workclass,education_num,marital_status,capital_gain,capital_loss,hours_per_week,income_50k
31,Private,9,Married_civ_spouse,0,0,40,No
59,Federal_gov,9,Widowed,0,0,40,No
20,Federal_gov,9,Never_married,0,0,40,No
33,Private,9,Divorced,0,0,40,No
22,Private,9,Never_married,0,0,40,No
31,Private,10,Married_civ_spouse,0,0,55,No
29,Self_emp_not_inc,9,Never_married,0,0,40,No
17,Local_gov,7,Never_married,0,0,20,No
19,Private,10,Never_married,0,0,40,No
47,Private,12,Divorced,0,0,40,No
19,Private,10,Never_married,0,0,30,No
37,Private,5,Married_civ_spouse,0,0,40,No
25,Private,11,Never_married,0,0,40,No
26,Self_emp_not_inc,11,Never_married,0,0,65,No
30,Private,9,Never_married,0,0,40,No
46,Private,9,Divorced,0,0,40,No
49,Local_gov,14,Divorced,0,0,40,No
43,Private,10,Divorced,0,0,40,No
24,Private,13,Never_married,0,0,40,No
50,Self_emp_not_inc,9,Married_civ_spouse,0,0,30,No
31,State_gov,13,Divorced,0,0,40,No
45,Private,10,Married_civ_spouse,0,0,48,No
40,Local_gov,12,Married_civ_spouse,0,0,40,No
70,Private,6,Married_civ_spouse,0,0,50,No
35,Private,13,Never_married,0,0,37,No
22,Private,3,Married_civ_spouse,0,0,40,No
26,Private,10,Never_married,0,0,20,No
22,Private,13,Never_married,0,0,9,No
30,Private,10,Never_married,0,0,40,No
42,Private,9,Married_civ_spouse,0,0,40,No
45,Self_emp_not_inc,10,Married_civ_spouse,3103,0,42,No
32,Private,3,Separated,0,0,60,No
22,Private,3,Married_civ_spouse,0,0,48,No
33,Private,13,Divorced,0,0,40,No
47,Private,9,Married_civ_spouse,0,0,60,No
29,Private,10,Married_civ_spouse,0,0,45,No
28,Private,11,Married_civ_spouse,0,0,40,No
45,Federal_gov,13,Married_civ_spouse,0,0,40,No
38,Private,10,Never_married,0,0,40,No
17,Private,6,Never_married,0,0,40,No
39,Local_gov,11,Married_civ_spouse,0,0,37,No
42,Private,14,Married_civ_spouse,0,0,60,No
26,Private,9,Never_married,0,0,35,No
19,Private,9,Never_married,0,0,35,No
32,Private,9,Married_civ_spouse,0,0,40,No
32,Private,9,Never_married,0,0,40,No
18,Private,9,Never_married,0,0,40,No
25,Private,9,Married_civ_spouse,0,0,40,No
47,Local_gov,13,Separated,0,0,70,No
37,Private,9,Divorced,0,0,50,No
37,Private,10,Never_married,0,0,40,No
27,Self_emp_not_inc,6,Married_civ_spouse,0,0,48,No
60,Self_emp_inc,9,Married_civ_spouse,0,0,25,No
31,Private,6,Married_civ_spouse,2105,0,40,No
17,Private,6,Never_married,0,0,15,No
39,Private,10,Divorced,0,0,40,No
29,State_gov,10,Married_civ_spouse,0,0,40,No
69,Private,9,Married_civ_spouse,0,0,40,No
33,State_gov,9,Divorced,0,0,40,No
39,Private,13,Married_civ_spouse,0,0,40,No
23,Private,7,Married_civ_spouse,0,0,40,No
51,Local_gov,13,Married_civ_spouse,0,0,26,No
27,Private,5,Married_civ_spouse,0,0,37,No
22,Private,10,Never_married,0,0,34,No
22,Private,10,Never_married,0,0,38,No
63,Private,4,Widowed,0,0,41,No
20,Private,7,Never_married,0,0,40,No
25,Private,10,Married_civ_spouse,0,0,40,No
19,Private,9,Never_married,0,0,40,No
26,Federal_gov,14,Never_married,0,0,40,No
47,Private,3,Never_married,0,0,20,No
47,Local_gov,10,Divorced,0,0,40,No
21,Private,10,Never_married,0,0,40,No
39,Private,9,Married_civ_spouse,5013,0,40,No
29,Local_gov,10,Separated,0,0,38,No
28,Private,9,Never_married,0,0,52,No
62,Private,13,Divorced,0,0,5,No
39,Self_emp_inc,10,Divorced,0,0,99,No
18,Self_emp_not_inc,10,Never_married,0,0,30,No
26,Private,13,Never_married,0,0,45,No
64,Self_emp_inc,2,Married_civ_spouse,0,0,20,No
21,Private,6,Married_civ_spouse,3908,0,40,No
66,Private,10,Married_civ_spouse,0,0,40,No
43,Private,13,Married_civ_spouse,0,0,40,No
27,Private,9,Never_married,0,1876,75,No
61,Self_emp_not_inc,4,Married_civ_spouse,0,0,56,No
24,Private,13,Married_civ_spouse,5013,0,30,No
55,Private,9,Divorced,0,0,45,No
61,Private,13,Married_civ_spouse,0,0,40,No
40,Private,9,Divorced,0,0,40,No
41,Self_emp_not_inc,11,Married_civ_spouse,0,0,40,No
37,Private,10,Never_married,0,0,60,No
20,Private,10,Never_married,0,0,30,No
54,Self_emp_not_inc,4,Married_civ_spouse,0,0,50,No
45,Private,9,Married_civ_spouse,0,0,40,No
26,Private,9,Married_civ_spouse,0,0,40,No
35,Local_gov,14,Divorced,0,0,41,No
28,Private,7,Married_civ_spouse,0,0,45,No
29,Local_gov,10,Divorced,0,0,40,No
59,Private,9,Married_civ_spouse,0,0,40,No
18,Private,9,Never_married,0,0,30,No
36,Federal_gov,9,Divorced,0,0,40,No
34,Private,9,Divorced,0,1408,38,No
33,Self_emp_not_inc,9,Married_civ_spouse,0,0,50,No
34,Local_gov,14,Widowed,0,0,40,No
25,Local_gov,13,Married_civ_spouse,0,0,60,No
17,Private,7,Never_married,0,0,17,No
47,Private,10,Divorced,0,0,35,No
46,Private,10,Married_civ_spouse,0,0,50,No
49,Private,9,Divorced,0,0,38,No
51,Private,13,Never_married,0,0,20,No
39,Private,9,Never_married,0,0,50,No
37,Self_emp_not_inc,9,Married_civ_spouse,0,0,30,No
24,Private,10,Never_married,0,0,35,No
18,Private,6,Never_married,0,0,40,No
17,Private,7,Never_married,0,0,30,No
71,Private,14,Never_married,0,0,20,No
26,Private,9,Never_married,0,0,48,No
43,Private,10,Divorced,0,0,45,No
70,Self_emp_not_inc,9,Married_civ_spouse,0,0,3,No
24,Private,13,Never_married,0,0,65,No
22,Private,10,Never_married,0,0,25,No
24,Private,14,Never_married,0,0,40,No
17,Private,8,Never_married,0,0,16,No
23,Private,13,Never_married,0,0,40,No
32,Private,11,Divorced,0,0,40,No
41,Private,15,Married_civ_spouse,0,0,40,No
19,Private,10,Never_married,0,0,25,No
27,Private,13,Never_married,0,0,40,No
22,Private,13,Never_married,0,0,15,No
19,Private,10,Never_married,0,0,60,No
55,Private,9,Married_civ_spouse,0,0,40,No
17,Private,6,Never_married,0,0,30,No
28,Private,9,Divorced,0,0,20,No
26,Private,9,Married_civ_spouse,0,0,45,No
42,Private,11,Divorced,0,0,32,No
23,Private,13,Never_married,0,0,38,No
38,Private,9,Divorced,0,0,40,No
39,Private,9,Married_civ_spouse,0,0,26,No
23,Private,10,Never_married,0,1974,40,No
40,Private,9,Separated,0,0,25,No
22,Private,9,Never_married,0,0,35,No
41,Private,9,Divorced,0,0,38,No
26,Private,10,Never_married,0,0,40,No
34,Private,10,Never_married,0,0,40,No
62,Private,9,Widowed,0,0,38,No
49,Private,7,Married_civ_spouse,0,0,40,No
48,State_gov,10,Divorced,0,0,40,No
73,Private,10,Widowed,0,0,10,No
33,Private,6,Married_civ_spouse,0,0,40,No
54,Private,10,Divorced,0,0,40,No
23,Private,9,Never_married,0,0,40,No
41,Private,9,Never_married,0,0,40,No
30,Private,10,Married_civ_spouse,0,0,40,No
64,Private,9,Married_civ_spouse,0,0,45,No
24,Private,13,Never_married,0,0,40,No
23,Private,10,Never_married,0,0,30,No
52,Private,9,Never_married,0,323,40,No
23,Local_gov,10,Never_married,0,0,30,No
50,Self_emp_not_inc,10,Divorced,0,0,40,No
70,Private,10,Divorced,0,0,80,No
38,Private,8,Married_civ_spouse,0,0,48,No
20,Private,7,Never_married,0,0,40,No
47,Private,9,Married_civ_spouse,0,0,45,No
41,Private,10,Divorced,0,0,40,No
53,Private,4,Married_civ_spouse,0,0,40,No
42,Local_gov,9,Married_civ_spouse,0,0,90,No
29,State_gov,14,Married_civ_spouse,0,0,20,No
25,Local_gov,13,Never_married,0,0,40,No
33,Private,9,Never_married,0,0,45,No
23,Private,9,Never_married,0,0,40,No
42,Private,11,Married_civ_spouse,2407,0,40,No
21,Private,9,Never_married,0,0,40,No
29,Private,14,Never_married,0,0,65,No
35,Private,9,Married_civ_spouse,0,0,60,No
21,Private,9,Divorced,0,0,38,No
28,Federal_gov,9,Never_married,0,0,48,No
30,Private,5,Never_married,0,0,40,No
62,Self_emp_not_inc,10,Divorced,0,0,40,No
33,Private,9,Married_civ_spouse,0,0,38,No
38,Private,10,Divorced,0,0,40,No
22,Private,6,Never_married,0,0,25,No
38,Private,9,Married_civ_spouse,0,0,24,No
21,Private,10,Never_married,0,0,20,No
47,Private,14,Divorced,0,0,40,No
23,Private,13,Never_married,0,0,25,No
18,Private,9,Never_married,0,0,12,No
52,Private,9,Divorced,0,1741,38,No
28,Private,9,Married_spouse_absent,0,0,37,No
21,Private,9,Never_married,0,0,40,No
30,Private,9,Widowed,0,0,40,No
53,Private,2,Married_civ_spouse,0,0,35,No
69,Private,13,Widowed,2346,0,15,No
28,Private,9,Never_married,0,0,32,No
28,Local_gov,13,Never_married,2202,0,50,No
40,Private,10,Divorced,0,0,45,No
35,Private,13,Married_civ_spouse,0,0,40,No
19,Private,10,Never_married,0,1719,16,No
22,Private,9,Married_civ_spouse,0,0,30,No
49,Private,9,Divorced,0,0,40,No
51,Local_gov,9,Married_civ_spouse,0,0,40,No
35,Private,9,Divorced,0,0,70,No
30,Private,13,Never_married,0,0,40,No
22,Private,10,Never_married,0,0,40,No
37,Self_emp_not_inc,11,Married_civ_spouse,0,0,55,No
36,Private,6,Divorced,0,0,40,No
49,Local_gov,13,Married_civ_spouse,0,0,50,No
28,Private,10,Married_civ_spouse,0,0,40,No
46,Private,4,Married_spouse_absent,0,0,45,No
37,Private,9,Married_civ_spouse,0,0,51,No
35,Private,12,Married_civ_spouse,0,0,40,No
40,Private,9,Married_civ_spouse,0,0,60,No
23,Private,13,Never_married,0,0,38,No
36,Private,13,Married_civ_spouse,0,0,40,No
66,Private,4,Divorced,0,0,40,No
28,Private,9,Separated,0,0,30,No
28,Private,13,Never_married,0,0,40,No
22,Private,10,Never_married,0,0,30,No
32,Private,9,Never_married,0,0,40,No
18,Private,10,Never_married,0,0,16,No
46,Private,10,Married_civ_spouse,0,0,50,No
43,Private,9,Married_civ_spouse,0,0,50,No
17,Private,7,Never_married,0,0,40,No
42,Private,9,Divorced,0,0,45,No
30,Private,9,Never_married,0,0,40,No
37,Local_gov,9,Divorced,0,0,40,No
20,Private,10,Never_married,0,0,12,No
21,Private,10,Never_married,0,0,6,No
30,Private,4,Separated,0,0,45,No
48,Private,12,Divorced,0,0,44,No
48,Private,7,Divorced,0,0,34,No
51,Private,9,Married_civ_spouse,0,0,40,No
28,Private,4,Married_civ_spouse,0,0,40,No
30,Private,10,Never_married,0,0,20,No
55,Private,12,Married_spouse_absent,0,0,5,No
30,Self_emp_not_inc,9,Married_civ_spouse,0,0,50,No
47,Self_emp_not_inc,13,Married_civ_spouse,0,0,30,No
26,Private,13,Never_married,0,1974,55,No
29,Private,13,Never_married,0,0,40,No
26,Local_gov,13,Never_married,0,0,42,No
33,Private,13,Never_married,0,0,20,No
21,Private,9,Never_married,0,0,40,No
26,Private,9,Married_civ_spouse,0,0,40,No
55,Self_emp_not_inc,9,Married_civ_spouse,0,0,40,No
30,Private,9,Never_married,0,1876,45,No
38,State_gov,9,Never_married,114,0,38,No
42,Private,7,Married_civ_spouse,0,0,15,No
24,Private,13,Never_married,0,0,30,No
22,Private,9,Never_married,0,0,40,No
24,Private,9,Never_married,0,0,40,No
45,Private,7,Married_civ_spouse,0,0,42,No
31,Private,10,Divorced,0,0,40,No
17,Private,6,Never_married,0,0,40,No
68,Private,9,Widowed,0,0,32,No
19,Private,10,Never_married,0,0,30,No
51,Self_emp_not_inc,9,Married_civ_spouse,0,0,50,No
24,Private,9,Never_married,0,0,40,No
46,Private,9,Divorced,0,0,40,No
21,Private,10,Never_married,0,0,10,No
47,Private,12,Widowed,0,0,35,No
37,Self_emp_not_inc,11,Never_married,0,0,40,No
50,Local_gov,10,Married_civ_spouse,0,1740,48,No
23,Private,10,Never_married,0,0,30,No
39,Private,9,Married_civ_spouse,0,0,50,No
49,Private,15,Married_civ_spouse,0,0,48,No
58,Private,9,Widowed,0,0,40,No
24,Private,9,Never_married,0,1762,40,No
64,Self_emp_not_inc,11,Married_civ_spouse,0,0,30,No
26,Private,9,Never_married,0,0,40,No
45,Private,14,Married_civ_spouse,4386,0,40,No
23,Private,13,Never_married,0,0,40,No
24,Private,13,Never_married,0,0,40,No
25,Private,10,Married_civ_spouse,2885,0,43,No
42,Private,13,Divorced,0,0,30,No
19,Private,10,Never_married,0,0,40,No
36,Private,9,Married_civ_spouse,0,0,50,No
61,Private,10,Married_spouse_absent,0,0,40,No
56,State_gov,14,Divorced,0,0,39,No
40,Private,10,Separated,0,0,8,No
21,Private,13,Never_married,0,0,20,No
24,Private,9,Married_civ_spouse,0,0,40,No
42,Local_gov,14,Divorced,0,0,40,No
51,Private,11,Never_married,0,0,43,No
18,Private,10,Never_married,2176,0,35,No
19,Private,7,Never_married,0,0,40,No
40,Private,13,Divorced,0,0,80,No
41,Private,9,Married_civ_spouse,0,0,40,No
27,Private,15,Divorced,0,0,12,No
34,Private,6,Separated,0,0,35,No
22,Private,10,Never_married,0,0,40,No
34,Private,9,Never_married,0,0,80,No
42,Local_gov,13,Married_civ_spouse,0,0,42,No
25,Private,14,Married_civ_spouse,0,0,40,No
24,Private,9,Married_civ_spouse,0,0,40,No
34,Private,11,Married_civ_spouse,3908,0,45,No
39,Local_gov,13,Married_civ_spouse,0,0,40,No
43,Federal_gov,12,Married_civ_spouse,0,0,40,No
33,State_gov,13,Never_married,0,0,20,No
20,Private,10,Never_married,0,0,40,No
22,Private,3,Never_married,0,0,40,No
47,State_gov,9,Married_civ_spouse,0,0,40,No
32,Private,9,Separated,0,0,60,No
38,Private,9,Married_civ_spouse,0,0,22,No
44,Private,8,Never_married,0,0,36,No
17,Private,5,Never_married,0,0,20,No
52,Local_gov,10,Married_civ_spouse,0,0,40,No
48,Local_gov,9,Never_married,0,0,40,No
41,Private,9,Divorced,7443,0,40,No
39,Private,13,Married_civ_spouse,5013,0,32,No
58,Local_gov,5,Married_civ_spouse,0,0,40,No
67,Self_emp_not_inc,9,Widowed,0,0,20,No
24,Private,11,Married_civ_spouse,0,0,40,No
36,Local_gov,10,Never_married,0,0,48,No
59,Private,9,Married_civ_spouse,0,0,30,No
25,Private,3,Married_civ_spouse,0,0,40,No
38,Private,13,Never_married,0,0,55,No
53,Private,13,Divorced,0,0,20,No
64,Private,13,Married_civ_spouse,0,0,40,No
67,Local_gov,14,Divorced,2009,0,40,No
28,Private,9,Divorced,0,0,35,No
35,Private,9,Married_civ_spouse,0,0,40,No
20,Private,10,Never_married,0,0,15,No
46,Private,10,Divorced,0,0,17,No
68,Private,4,Widowed,0,0,10,No
26,State_gov,10,Married_civ_spouse,0,0,40,No
19,Private,10,Never_married,0,0,50,No
28,Private,9,Never_married,0,0,40,No
26,Local_gov,13,Never_married,1055,0,40,No
56,Private,4,Married_civ_spouse,0,2002,40,No
34,Private,14,Never_married,4650,0,30,No
58,Private,8,Married_civ_spouse,0,0,40,No
33,Private,9,Never_married,0,0,40,No
41,Private,11,Never_married,0,0,40,No
33,Private,13,Married_civ_spouse,0,0,45,No
43,Private,9,Married_civ_spouse,0,0,40,No
26,Private,9,Never_married,0,0,40,No
29,State_gov,10,Never_married,0,0,40,No
31,Private,9,Married_civ_spouse,0,0,45,No
25,Private,13,Never_married,0,0,20,No
28,Private,10,Never_married,0,0,40,No
21,Private,9,Never_married,0,0,20,No
25,Private,13,Never_married,0,2339,35,No
17,Private,7,Never_married,0,0,12,No
47,State_gov,4,Married_civ_spouse,0,0,40,No
27,Private,12,Never_married,0,0,45,No
23,Private,11,Divorced,0,0,30,No
25,Private,9,Never_married,0,0,40,No
43,Private,9,Married_civ_spouse,0,0,40,No
77,Self_emp_not_inc,10,Married_civ_spouse,0,0,40,No
38,Private,13,Married_civ_spouse,0,0,40,No
58,Private,4,Widowed,0,0,30,No
44,Private,7,Divorced,0,0,46,No
33,Private,6,Separated,0,0,40,No
31,Private,9,Never_married,0,0,58,No
23,Local_gov,12,Never_married,0,0,52,No
62,Private,4,Divorced,0,0,40,No
67,Self_emp_inc,9,Married_civ_spouse,0,0,40,No
53,Private,13,Married_civ_spouse,0,0,35,No
33,Private,9,Divorced,0,1741,40,No
60,Private,9,Married_civ_spouse,0,0,5,No
26,Private,9,Never_married,5721,0,40,No
19,Private,10,Never_married,0,0,35,No
37,Private,9,Married_civ_spouse,0,0,40,No
29,Private,6,Married_civ_spouse,0,0,40,No
27,State_gov,13,Never_married,0,0,9,No
36,Private,13,Never_married,0,0,50,No
65,State_gov,4,Widowed,0,0,24,No
72,Private,13,Divorced,0,0,30,No
57,Self_emp_not_inc,9,Married_civ_spouse,0,0,30,No
17,Private,8,Never_married,0,0,40,No
32,Private,9,Never_married,0,0,10,No
23,Private,13,Never_married,0,1719,40,No
27,Private,9,Never_married,0,0,30,No
28,Private,10,Never_married,0,0,50,No
49,Private,9,Married_civ_spouse,0,0,40,No
35,Local_gov,10,Married_civ_spouse,0,2377,40,No
24,Private,2,Married_civ_spouse,0,0,5,No
27,Local_gov,9,Never_married,0,0,38,No
28,Self_emp_not_inc,3,Married_civ_spouse,0,0,25,No
44,Private,10,Divorced,0,0,50,No
21,Private,9,Never_married,0,0,25,No
31,Private,10,Married_civ_spouse,0,0,40,No
36,Private,9,Married_civ_spouse,0,0,50,No
40,Private,9,Never_married,0,0,35,No
35,Local_gov,9,Married_civ_spouse,0,0,40,No
64,Private,10,Separated,0,0,40,No
36,Self_emp_not_inc,13,Never_married,0,0,50,No
22,Private,10,Never_married,0,0,40,No
28,Private,9,Never_married,0,0,40,No
20,Private,11,Never_married,0,0,40,No
30,Private,9,Never_married,0,0,45,No
21,Private,9,Never_married,0,0,40,No
58,Private,7,Divorced,0,0,15,No
52,Private,7,Separated,0,0,40,No
36,Self_emp_not_inc,13,Married_civ_spouse,0,0,45,No
65,Private,10,Separated,0,0,38,No
19,Private,8,Never_married,0,1602,20,No
30,Private,7,Married_civ_spouse,0,0,40,No
23,Private,13,Never_married,0,0,20,No
28,Local_gov,16,Divorced,0,0,40,No
41,Private,12,Divorced,0,0,40,No
27,Private,9,Married_civ_spouse,2885,0,40,No
33,Self_emp_inc,14,Married_civ_spouse,0,0,40,No
41,Private,2,Married_spouse_absent,0,0,40,No
49,Private,9,Married_civ_spouse,0,0,40,No
22,Private,9,Never_married,0,0,40,No
34,Private,10,Separated,0,0,45,No
73,Private,9,Divorced,0,0,20,No
46,Private,10,Married_civ_spouse,0,0,50,No
37,Private,9,Never_married,0,0,40,No
50,Private,4,Married_civ_spouse,0,0,40,No
43,Private,2,Never_married,0,0,40,No
45,Federal_gov,10,Never_married,0,0,40,No
29,Private,9,Married_civ_spouse,0,0,40,No
19,Private,10,Never_married,0,0,30,No
22,Private,7,Never_married,0,0,65,No
55,Self_emp_not_inc,9,Divorced,0,0,40,No
61,Private,9,Married_civ_spouse,0,0,40,No
66,Private,7,Never_married,0,0,30,No
44,Private,14,Divorced,0,0,24,No
47,Self_emp_not_inc,13,Married_civ_spouse,0,0,60,No
44,Private,9,Never_married,0,0,40,No
40,Private,14,Married_civ_spouse,0,0,40,No
26,Private,7,Never_married,0,0,40,No
22,Private,7,Never_married,0,0,50,No
74,Federal_gov,10,Widowed,0,0,18,No
63,Private,5,Separated,0,0,40,No
19,Private,6,Never_married,0,0,38,No
38,Private,12,Divorced,0,0,40,No
48,Private,10,Widowed,0,0,43,No
19,Private,10,Never_married,0,0,40,No
66,Private,10,Married_civ_spouse,0,0,45,No
51,Federal_gov,10,Divorced,0,0,40,No
24,Private,10,Never_married,0,0,40,No
39,Private,12,Widowed,0,0,45,No
44,Private,2,Married_civ_spouse,0,0,40,No
34,Private,10,Never_married,0,0,40,No
78,Private,13,Married_civ_spouse,0,0,3,No
20,Private,10,Never_married,0,0,15,No
22,Private,13,Never_married,0,0,20,No
45,Federal_gov,12,Divorced,0,2080,40,No
27,Private,13,Never_married,0,0,36,No
20,Private,10,Never_married,0,0,20,No
25,Private,9,Never_married,0,0,40,No
49,Private,9,Married_civ_spouse,0,0,40,No
18,Private,9,Never_married,0,0,40,No
30,Private,11,Married_civ_spouse,0,0,40,No
18,Private,8,Never_married,0,0,20,No
19,Private,10,Never_married,0,0,15,No
34,Private,13,Never_married,0,1741,40,No
61,Private,9,Married_civ_spouse,0,0,50,No
32,Private,10,Divorced,0,0,40,No
38,Private,12,Never_married,0,0,36,No
21,Private,10,Never_married,0,0,40,No
48,Private,13,Married_civ_spouse,0,0,55,No
40,Private,9,Married_civ_spouse,0,0,40,No
76,Private,15,Married_civ_spouse,0,1258,20,No
20,Private,10,Never_married,1055,0,50,No
18,Private,9,Never_married,0,0,25,No
30,Private,13,Never_married,0,0,37,No
49,Private,9,Never_married,0,0,44,No
19,Private,9,Never_married,0,0,30,No
28,Private,9,Married_civ_spouse,0,0,40,No
26,Private,13,Never_married,0,0,40,No
35,Private,9,Divorced,0,0,40,No
55,Private,9,Married_civ_spouse,0,0,65,No
23,Self_emp_not_inc,9,Never_married,0,0,40,No
29,Self_emp_not_inc,11,Married_civ_spouse,0,0,50,No
28,Private,9,Never_married,0,0,40,No
49,Private,10,Divorced,0,0,40,No
51,Private,9,Never_married,0,1590,40,No
53,Private,10,Divorced,0,0,40,No
38,Private,9,Married_civ_spouse,0,0,60,No
20,Private,9,Never_married,0,0,48,No
28,Private,10,Never_married,0,0,40,No
30,Private,9,Never_married,0,0,40,No
21,Private,3,Married_civ_spouse,0,0,40,No
24,Private,10,Divorced,0,0,40,No
53,Self_emp_not_inc,4,Married_civ_spouse,0,0,99,No
45,Local_gov,10,Divorced,0,0,40,No
42,Private,10,Married_civ_spouse,0,0,50,No
36,Private,9,Divorced,0,0,40,No
38,Private,13,Never_married,0,0,45,No
36,Private,9,Divorced,0,0,50,No
17,Private,6,Never_married,0,0,10,No
24,Private,3,Married_spouse_absent,0,0,40,No
37,Private,9,Divorced,0,0,40,No
46,Private,11,Married_civ_spouse,0,0,60,No
20,Private,10,Never_married,0,0,14,No
25,Private,13,Never_married,3325,0,40,No
37,Private,2,Married_civ_spouse,0,0,40,No
39,State_gov,9,Married_civ_spouse,0,0,40,No
62,Local_gov,9,Married_civ_spouse,0,0,40,No
25,Private,9,Never_married,0,0,30,No
43,Private,13,Married_spouse_absent,0,0,40,No
70,Private,9,Married_civ_spouse,0,0,30,No
19,Private,8,Never_married,0,0,25,No
69,Private,6,Never_married,0,0,40,No
63,Private,9,Divorced,0,0,40,No
75,Private,3,Widowed,0,0,10,No
21,Private,10,Never_married,0,0,25,No
38,Private,13,Never_married,0,0,20,No
52,Private,9,Divorced,0,0,40,No
33,Private,13,Never_married,0,0,40,No
35,Private,10,Married_civ_spouse,0,0,45,No
24,Private,4,Married_civ_spouse,2105,0,50,No
37,Private,10,Divorced,0,0,40,No
30,Private,14,Never_married,0,0,30,No
18,Local_gov,8,Never_married,0,0,30,No
53,State_gov,10,Married_civ_spouse,0,0,50,No
74,Private,6,Married_civ_spouse,1797,0,30,No
