Month,Hour,Workday,Temp,Weather,Windspeed,Bikes
Jan,4,1,0.16,clear,0.3881,0
Jan,5,1,0.16,clear,0.2836,0
Jan,6,1,0.14,clear,0.3881,0
Jan,7,1,0.14,clear,0.194,1
Jan,8,1,0.14,clear,0.2836,1
Jan,9,1,0.16,clear,0.3881,7
Jan,10,1,0.18,clear,0.2537,11
Jan,11,1,0.2,clear,0.3284,10
Jan,12,1,0.22,clear,0.2985,13
Jan,13,1,0.24,clear,0.2836,8
Jan,14,1,0.26,clear,0.2836,11
Jan,15,1,0.26,clear,0.2537,14
Jan,16,1,0.26,clear,0.2537,9
Jan,17,1,0.24,clear,0.2239,11
Jan,18,1,0.24,clear,0.1045,9
Jan,19,1,0.2,clear,0,8
Jan,20,1,0.2,clear,0.1045,3
Jan,21,1,0.18,clear,0.1343,3
Jan,22,1,0.14,clear,0.1343,0
Jan,23,1,0.18,clear,0.1045,1
Jan,0,1,0.16,clear,0.1045,0
Jan,1,1,0.16,clear,0.1045,0
Jan,2,1,0.14,clear,0.1343,0
Jan,4,1,0.14,clear,0.0896,0
Jan,5,1,0.12,clear,0.1045,0
Jan,6,1,0.12,clear,0.1045,0
Jan,7,1,0.12,clear,0.1343,2
Jan,8,1,0.14,clear,0.1642,2
Jan,9,1,0.16,clear,0.2239,2
Jan,10,1,0.16,cloudy/misty,0.3284,5
Jan,11,1,0.22,clear,0.2985,7
Jan,12,1,0.22,clear,0.1642,12
Jan,13,1,0.24,clear,0.194,18
Jan,14,1,0.26,clear,0.2239,9
Jan,15,1,0.28,clear,0.2537,17
Jan,16,1,0.3,clear,0.2537,15
Jan,17,1,0.28,clear,0.2239,10
Jan,18,1,0.26,clear,0.194,3
Jan,19,1,0.24,clear,0.1045,2
Jan,20,1,0.24,clear,0.1045,1
Jan,21,1,0.22,clear,0,0
Jan,22,1,0.22,clear,0.0896,1
Jan,23,1,0.2,clear,0.0896,2
Jan,0,1,0.2,clear,0,0
Jan,1,1,0.16,clear,0.0896,0
Jan,2,1,0.16,clear,0.0896,0
Jan,4,1,0.24,clear,0.2239,0
Jan,5,1,0.22,clear,0.1642,0
Jan,6,1,0.2,clear,0.2239,0
Jan,7,1,0.18,clear,0.194,1
Jan,8,1,0.2,clear,0.2985,3
Jan,9,1,0.22,clear,0.3284,6
Jan,10,1,0.22,clear,0.3284,4
Jan,11,1,0.26,clear,0.3284,12
Jan,12,1,0.26,clear,0.3284,5
Jan,13,1,0.28,clear,0.2985,6
Jan,14,1,0.3,clear,0.194,10
Jan,15,1,0.3,clear,0.194,7
Jan,16,1,0.3,clear,0.0896,4
Jan,17,1,0.24,clear,0.194,4
Jan,18,1,0.24,clear,0.1343,3
Jan,19,1,0.24,clear,0.1045,5
Jan,20,1,0.22,clear,0.1642,7
Jan,21,1,0.2,clear,0.194,3
Jan,22,1,0.18,clear,0.1343,1
Jan,23,1,0.2,clear,0,1
Jan,0,1,0.18,clear,0,0
Jan,1,1,0.16,clear,0,0
Jan,2,1,0.16,clear,0,0
Jan,4,1,0.16,cloudy/misty,0.0896,0
Jan,5,1,0.14,cloudy/misty,0.0896,0
Jan,6,1,0.14,cloudy/misty,0.1045,0
Jan,7,1,0.16,cloudy/misty,0,0
Jan,8,1,0.16,clear,0,3
Jan,9,1,0.18,cloudy/misty,0,6
Jan,10,1,0.2,clear,0,3
Jan,11,1,0.22,clear,0.0896,2
Jan,12,1,0.26,clear,0,6
Jan,13,1,0.26,clear,0.1045,12
Jan,14,1,0.28,clear,0.1642,11
Jan,15,1,0.28,clear,0,8
Jan,16,1,0.26,clear,0.1642,12
Jan,17,1,0.22,clear,0.1642,9
Jan,18,1,0.22,clear,0.1343,5
Jan,19,1,0.22,clear,0.0896,3
Jan,20,1,0.2,clear,0.1642,3
Jan,21,1,0.22,cloudy/misty,0.2239,0
Jan,22,1,0.22,cloudy/misty,0.2836,1
Jan,23,1,0.2,cloudy/misty,0.194,4
Jan,0,1,0.2,cloudy/misty,0.194,4
Jan,1,1,0.2,cloudy/misty,0.2239,2
Jan,2,1,0.2,cloudy/misty,0.2239,0
Jan,4,1,0.2,cloudy/misty,0.1343,0
Jan,5,1,0.22,light rain/snow,0,0
Jan,6,1,0.2,cloudy/misty,0,8
Jan,7,1,0.2,clear,0.1343,8
Jan,8,1,0.2,clear,0.2537,20
Jan,9,1,0.2,clear,0.2985,9
Jan,10,1,0.22,clear,0.3284,16
Jan,11,1,0.2,cloudy/misty,0.2239,19
Jan,12,1,0.2,cloudy/misty,0.2537,9
Jan,13,1,0.2,cloudy/misty,0.2836,9
Jan,14,1,0.2,cloudy/misty,0.2537,7
Jan,15,1,0.2,cloudy/misty,0.1642,9
Jan,16,1,0.2,cloudy/misty,0.1642,5
Jan,17,1,0.2,cloudy/misty,0,9
Jan,18,1,0.2,clear,0.0896,7
Jan,19,1,0.16,clear,0.0896,3
Jan,20,1,0.18,clear,0.1045,1
Jan,21,1,0.18,clear,0.1343,0
Jan,22,1,0.18,cloudy/misty,0.1642,2
Jan,23,1,0.18,cloudy/misty,0.1642,1
Jan,0,0,0.18,cloudy/misty,0.1642,1
Jan,1,0,0.18,cloudy/misty,0.0896,1
Jan,2,0,0.18,cloudy/misty,0,3
Jan,3,0,0.18,light rain/snow,0.1642,0
Jan,4,0,0.18,light rain/snow,0.1642,0
Jan,5,0,0.16,cloudy/misty,0.1642,0
Jan,6,0,0.16,cloudy/misty,0.1642,0
Jan,7,0,0.16,cloudy/misty,0.1045,1
Jan,8,0,0.16,light rain/snow,0.1045,0
Jan,9,0,0.16,light rain/snow,0.1045,0
Jan,10,0,0.18,cloudy/misty,0.1642,5
Jan,11,0,0.2,cloudy/misty,0.3881,2
Jan,12,0,0.2,cloudy/misty,0.3582,8
Jan,13,0,0.2,clear,0.3284,7
Jan,14,0,0.2,clear,0.4925,12
Jan,15,0,0.2,clear,0.4478,5
Jan,16,0,0.18,clear,0.4478,8
Jan,17,0,0.16,clear,0.5522,5
Jan,18,0,0.14,clear,0.2985,3
Jan,19,0,0.14,clear,0.2537,4
Jan,20,0,0.12,clear,0.2537,0
Jan,21,0,0.12,clear,0.3582,2
Jan,22,0,0.12,clear,0.3881,1
Jan,23,0,0.1,clear,0.4478,0
Jan,0,0,0.1,clear,0.3881,1
Jan,1,0,0.1,clear,0.4627,0
Jan,2,0,0.1,clear,0.4627,0
Jan,3,0,0.1,clear,0.4179,0
Jan,4,0,0.08,clear,0.194,0
Jan,5,0,0.08,clear,0.194,0
Jan,6,0,0.1,clear,0.2836,0
Jan,7,0,0.08,clear,0.194,1
Jan,8,0,0.1,clear,0.2836,0
Jan,9,0,0.12,clear,0.5224,0
Jan,10,0,0.14,clear,0.3881,0
Jan,11,0,0.16,clear,0.5224,2
Jan,12,0,0.18,clear,0.4478,4
Jan,13,0,0.2,clear,0.4478,6
Jan,14,0,0.22,clear,0.4627,8
Jan,15,0,0.22,clear,0.3582,5
Jan,16,0,0.2,clear,0.4478,13
Jan,17,0,0.18,clear,0.3881,3
Jan,18,0,0.16,clear,0.3284,4
Jan,19,0,0.16,clear,0.3284,1
Jan,20,0,0.14,clear,0.2537,0
Jan,21,0,0.14,clear,0.4179,1
Jan,22,0,0.14,clear,0.2985,5
Jan,23,0,0.12,clear,0.194,0
Jan,0,1,0.12,clear,0.2836,2
Jan,1,1,0.12,clear,0.2836,1
Jan,2,1,0.12,clear,0.2239,0
Jan,3,1,0.12,clear,0.2239,0
Jan,4,1,0.1,clear,0.1343,1
Jan,5,1,0.1,clear,0.2537,0
Jan,6,1,0.12,clear,0.2836,0
Jan,7,1,0.12,clear,0.2239,2
Jan,8,1,0.12,cloudy/misty,0.2836,4
Jan,9,1,0.14,cloudy/misty,0.2537,2
Jan,10,1,0.14,cloudy/misty,0.2985,0
Jan,11,1,0.16,cloudy/misty,0.2836,2
Jan,12,1,0.2,cloudy/misty,0.2836,5
Jan,13,1,0.2,cloudy/misty,0.2836,4
Jan,14,1,0.2,cloudy/misty,0.2239,0
Jan,15,1,0.2,cloudy/misty,0.2239,2
Jan,16,1,0.2,clear,0.1343,4
Jan,17,1,0.2,clear,0.1045,4
Jan,18,1,0.2,clear,0.2239,1
Jan,19,1,0.16,clear,0.1642,3
Jan,20,1,0.16,clear,0.1642,1
Jan,21,1,0.14,clear,0.194,1
Jan,22,1,0.14,clear,0.1642,2
Jan,23,1,0.14,clear,0.1642,0
Jan,0,1,0.14,clear,0.1045,2
Jan,1,1,0.14,clear,0.1642,0
Jan,2,1,0.16,cloudy/misty,0.194,0
Jan,5,1,0.16,cloudy/misty,0.1343,0
Jan,6,1,0.16,cloudy/misty,0.1343,0
Jan,7,1,0.16,cloudy/misty,0,2
Jan,8,1,0.18,cloudy/misty,0.0896,3
Jan,9,1,0.18,cloudy/misty,0.1642,3
Jan,10,1,0.2,cloudy/misty,0.1642,3
Jan,11,1,0.2,cloudy/misty,0.1343,4
Jan,12,1,0.2,cloudy/misty,0.1045,2
Jan,13,1,0.2,cloudy/misty,0.0896,6
Jan,14,1,0.2,cloudy/misty,0.0896,3
Jan,15,1,0.16,cloudy/misty,0.0896,2
Jan,16,1,0.16,cloudy/misty,0.2239,4
Jan,17,1,0.16,cloudy/misty,0.2239,6
Jan,18,1,0.16,light rain/snow,0.1045,1
Jan,19,1,0.16,light rain/snow,0,0
Jan,20,1,0.16,light rain/snow,0.194,0
Jan,21,1,0.16,light rain/snow,0.0896,0
Jan,22,1,0.16,light rain/snow,0.1045,1
Jan,23,1,0.16,light rain/snow,0.0896,1
Jan,0,1,0.16,cloudy/misty,0.0896,0
Jan,1,1,0.16,cloudy/misty,0.1045,0
Jan,2,1,0.14,clear,0.1343,0
Jan,5,1,0.14,clear,0.1642,0
Jan,6,1,0.12,clear,0.1343,0
Jan,7,1,0.14,clear,0.1343,0
Jan,8,1,0.16,clear,0.1642,3
Jan,9,1,0.16,clear,0.3284,3
Jan,10,1,0.18,clear,0.2239,0
Jan,11,1,0.2,clear,0.3881,3
Jan,12,1,0.2,clear,0.5821,3
Jan,13,1,0.22,clear,0.3582,0
Jan,14,1,0.2,clear,0.3284,0
Jan,15,1,0.2,clear,0.4179,1
Jan,16,1,0.22,clear,0.3284,5
Jan,17,1,0.2,clear,0.3582,0
Jan,18,1,0.2,clear,0.5224,2
Jan,19,1,0.18,clear,0.4179,1
Jan,20,1,0.16,clear,0.3284,2
Jan,21,1,0.16,clear,0.3284,0
Jan,22,1,0.16,clear,0.4478,1
Jan,23,1,0.14,clear,0.4179,1
Jan,0,1,0.14,clear,0.2836,1
Jan,1,1,0.14,clear,0.2836,0
Jan,2,1,0.14,clear,0.3582,0
Jan,3,1,0.14,clear,0.3284,0
Jan,4,1,0.14,clear,0.2537,0
Jan,5,1,0.14,clear,0.2985,0
Jan,6,1,0.12,clear,0.1343,0
Jan,7,1,0.12,clear,0.1343,0
Jan,8,1,0.14,clear,0.194,5
Jan,9,1,0.14,clear,0.3284,2
Jan,10,1,0.16,cloudy/misty,0.3582,2
Jan,11,1,0.2,cloudy/misty,0.4478,4
Jan,12,1,0.2,clear,0.4179,3
Jan,13,1,0.22,clear,0.4478,2
Jan,14,1,0.22,clear,0.3881,3
Jan,15,1,0.24,clear,0.2985,5
Jan,16,1,0.24,clear,0.3582,2
Jan,17,1,0.2,clear,0.2836,4
Jan,18,1,0.2,clear,0.3284,3
Jan,19,1,0.16,clear,0.2537,1
Jan,20,1,0.16,clear,0.2239,0
Jan,21,1,0.14,clear,0.2985,0
Jan,22,1,0.14,clear,0.3284,0
Jan,23,1,0.12,clear,0.194,1
Jan,0,1,0.12,clear,0.194,0
Jan,1,1,0.1,clear,0.1642,0
Jan,2,1,0.1,clear,0.1343,0
Jan,3,1,0.1,clear,0.1045,0
Jan,5,1,0.1,clear,0.0896,0
Jan,6,1,0.1,clear,0,0
Jan,7,1,0.1,clear,0.1642,0
Jan,8,1,0.12,clear,0,2
Jan,9,1,0.14,clear,0.1343,0
Jan,10,1,0.18,clear,0.194,4
Jan,11,1,0.18,clear,0.2836,6
Jan,12,1,0.2,clear,0.2537,2
Jan,13,1,0.22,clear,0.3881,4
Jan,14,1,0.22,clear,0.2836,5
Jan,15,1,0.24,clear,0.1642,9
Jan,16,1,0.22,clear,0.1045,3
Jan,17,1,0.22,clear,0.1642,4
Jan,18,1,0.2,clear,0,5
Jan,19,1,0.16,clear,0.0896,3
Jan,20,1,0.18,clear,0,0
Jan,21,1,0.16,clear,0,4
Jan,22,1,0.16,cloudy/misty,0,2
Jan,23,1,0.18,cloudy/misty,0,1
Jan,0,0,0.18,clear,0,3
Jan,1,0,0.16,cloudy/misty,0.0896,2
Jan,2,0,0.16,cloudy/misty,0.0896,0
Jan,3,0,0.16,cloudy/misty,0,1
Jan,4,0,0.16,cloudy/misty,0,0
Jan,5,0,0.16,clear,0,0
Jan,6,0,0.14,clear,0.1045,1
Jan,7,0,0.14,clear,0,1
Jan,8,0,0.14,clear,0.1343,1
Jan,9,0,0.16,clear,0.1343,2
Jan,10,0,0.18,clear,0.1642,2
Jan,11,0,0.2,clear,0.2239,18
Jan,12,0,0.24,clear,0.2239,15
Jan,13,0,0.28,clear,0.2985,21
Jan,14,0,0.3,clear,0.2836,26
Jan,15,0,0.32,cloudy/misty,0.194,21
Jan,16,0,0.34,cloudy/misty,0.194,33
Jan,17,0,0.32,cloudy/misty,0.2836,29
Jan,18,0,0.3,cloudy/misty,0.2537,15
Jan,19,0,0.32,cloudy/misty,0.2537,14
Jan,20,0,0.32,cloudy/misty,0.2537,6
Jan,21,0,0.32,cloudy/misty,0.2239,6
Jan,22,0,0.3,cloudy/misty,0.1045,0
Jan,23,0,0.3,clear,0.2836,5
Jan,0,0,0.26,clear,0,6
Jan,1,0,0.26,clear,0.1343,4
Jan,2,0,0.26,clear,0.0896,3
Jan,3,0,0.22,clear,0,9
Jan,4,0,0.26,clear,0.1642,0
Jan,5,0,0.26,cloudy/misty,0.1642,1
Jan,6,0,0.26,cloudy/misty,0.1642,0
Jan,7,0,0.24,cloudy/misty,0.2985,0
Jan,8,0,0.22,clear,0.2836,0
Jan,9,0,0.22,clear,0.2537,3
Jan,10,0,0.22,clear,0.2836,8
Jan,11,0,0.24,clear,0.2537,23
Jan,12,0,0.24,clear,0.2836,29
Jan,13,0,0.26,clear,0.2985,23
Jan,14,0,0.28,clear,0.2537,22
Jan,15,0,0.26,clear,0.2537,35
Jan,16,0,0.24,clear,0.2239,22
Jan,17,0,0.22,clear,0.2537,23
Jan,18,0,0.2,clear,0.1642,11
Jan,19,0,0.18,clear,0.1343,14
Jan,20,0,0.18,clear,0.1642,7
Jan,21,0,0.18,clear,0.1642,6
Jan,22,0,0.2,cloudy/misty,0.1343,2
Jan,23,0,0.2,cloudy/misty,0.1045,0
Jan,0,0,0.2,cloudy/misty,0.2239,1
Jan,1,0,0.2,cloudy/misty,0.194,1
Jan,2,0,0.18,cloudy/misty,0.2537,0
Jan,3,0,0.18,cloudy/misty,0.194,0
Jan,4,0,0.18,cloudy/misty,0.1343,1
Jan,5,0,0.18,cloudy/misty,0.1642,0
Jan,6,0,0.18,cloudy/misty,0.194,0
Jan,7,0,0.16,cloudy/misty,0.1343,4
Jan,8,0,0.16,cloudy/misty,0.2239,3
Jan,9,0,0.16,cloudy/misty,0.2239,8
Jan,10,0,0.16,cloudy/misty,0.2537,7
Jan,11,0,0.16,cloudy/misty,0.194,9
Jan,12,0,0.18,cloudy/misty,0.1343,10
Jan,13,0,0.18,cloudy/misty,0.1343,13
Jan,14,0,0.18,cloudy/misty,0.1045,12
Jan,15,0,0.2,cloudy/misty,0.1642,21
Jan,16,0,0.2,cloudy/misty,0.1642,6
Jan,17,0,0.2,clear,0.194,4
Jan,18,0,0.18,cloudy/misty,0.2537,7
Jan,19,0,0.18,light rain/snow,0.194,2
Jan,20,0,0.16,light rain/snow,0.194,4
Jan,21,0,0.16,light rain/snow,0.194,3
Jan,22,0,0.14,light rain/snow,0.2537,0
Jan,23,0,0.16,light rain/snow,0.2836,1
Jan,12,1,0.2,cloudy/misty,0.3284,0
Jan,13,1,0.2,cloudy/misty,0.2239,0
Jan,14,1,0.22,cloudy/misty,0.1642,2
Jan,15,1,0.22,cloudy/misty,0.1642,3
Jan,16,1,0.22,cloudy/misty,0.194,0
Jan,17,1,0.22,cloudy/misty,0.194,1
Jan,18,1,0.22,cloudy/misty,0.1642,1
Jan,19,1,0.22,cloudy/misty,0.1343,1
Jan,20,1,0.22,cloudy/misty,0,0
Jan,21,1,0.22,cloudy/misty,0.1045,0
Jan,22,1,0.22,cloudy/misty,0.0896,0
Jan,23,1,0.22,cloudy/misty,0,1
Jan,0,1,0.22,cloudy/misty,0,0
Jan,1,1,0.22,light rain/snow,0.1343,1
Jan,2,1,0.22,light rain/snow,0.1343,0
Jan,4,1,0.22,light rain/snow,0.1343,1
Jan,5,1,0.22,cloudy/misty,0.0896,0
Jan,6,1,0.22,cloudy/misty,0.0896,0
Jan,7,1,0.24,cloudy/misty,0.1045,1
Jan,8,1,0.24,cloudy/misty,0.1045,1
Jan,9,1,0.24,cloudy/misty,0.1045,2
Jan,10,1,0.26,cloudy/misty,0.1343,1
Jan,11,1,0.28,cloudy/misty,0.0896,5
Jan,12,1,0.3,cloudy/misty,0.0896,5
Jan,13,1,0.4,clear,0.2836,11
Jan,14,1,0.4,clear,0.2537,7
Jan,15,1,0.4,clear,0.2836,4
Jan,16,1,0.38,clear,0.3881,10
Jan,17,1,0.36,clear,0.3284,7
Jan,18,1,0.34,clear,0.2836,5
Jan,19,1,0.32,clear,0.4179,4
Jan,20,1,0.32,clear,0.2985,2
Jan,21,1,0.32,clear,0.4179,4
Jan,22,1,0.3,clear,0.1642,6
Jan,23,1,0.3,clear,0.4627,1
Jan,0,1,0.26,clear,0.3881,5
Jan,1,1,0.26,clear,0,2
Jan,2,1,0.26,clear,0,0
Jan,3,1,0.26,clear,0.1642,0
Jan,4,1,0.26,clear,0.1642,0
Jan,5,1,0.24,clear,0.2239,0
Jan,6,1,0.22,clear,0.2239,0
Jan,7,1,0.22,clear,0.2239,1
Jan,8,1,0.22,clear,0.2836,2
Jan,9,1,0.24,cloudy/misty,0.2239,3
Jan,10,1,0.26,clear,0.2985,1
Jan,11,1,0.28,cloudy/misty,0.1642,5
Jan,12,1,0.3,cloudy/misty,0,7
Jan,13,1,0.28,cloudy/misty,0.1045,12
Jan,14,1,0.3,cloudy/misty,0.1343,6
Jan,15,1,0.32,cloudy/misty,0.194,8
Jan,16,1,0.3,cloudy/misty,0.1343,8
Jan,17,1,0.3,cloudy/misty,0.1045,8
Jan,18,1,0.26,cloudy/misty,0.194,1
Jan,19,1,0.26,clear,0.3284,6
Jan,20,1,0.26,cloudy/misty,0.2836,2
Jan,21,1,0.24,cloudy/misty,0.2537,3
Jan,22,1,0.24,cloudy/misty,0.2836,0
Jan,23,1,0.24,cloudy/misty,0.3284,3
Jan,0,1,0.24,cloudy/misty,0.2537,1
Jan,1,1,0.24,cloudy/misty,0.2537,0
Jan,2,1,0.24,light rain/snow,0.1642,0
Jan,3,1,0.22,light rain/snow,0.2985,0
Jan,4,1,0.22,cloudy/misty,0.0896,0
Jan,5,1,0.24,clear,0.4179,1
Jan,6,1,0.22,clear,0.2537,0
Jan,7,1,0.2,clear,0.2836,2
Jan,8,1,0.2,clear,0.3284,7
Jan,9,1,0.2,clear,0.3582,7
Jan,10,1,0.2,clear,0.4627,6
Jan,11,1,0.22,clear,0.4627,6
Jan,12,1,0.22,clear,0.5821,11
Jan,13,1,0.2,clear,0.5821,8
Jan,14,1,0.2,clear,0.5224,6
Jan,15,1,0.16,clear,0.4478,4
Jan,16,1,0.16,clear,0.3582,0
Jan,17,1,0.14,clear,0.3582,10
Jan,18,1,0.12,clear,0.2537,1
Jan,19,1,0.12,clear,0.3284,3
Jan,20,1,0.1,clear,0.4179,1
Jan,21,1,0.08,clear,0.2836,0
Jan,22,1,0.06,clear,0.3881,1
Jan,23,1,0.06,clear,0.3284,0
Jan,0,0,0.04,clear,0.2537,0
Jan,1,0,0.04,cloudy/misty,0.3881,3
Jan,2,0,0.04,cloudy/misty,0.2537,0
Jan,3,0,0.04,cloudy/misty,0.2836,1
Jan,4,0,0.02,cloudy/misty,0.2985,0
Jan,6,0,0.02,cloudy/misty,0.2239,0
Jan,7,0,0.02,clear,0.2836,0
Jan,8,0,0.02,clear,0.3284,1
Jan,9,0,0.04,clear,0.2537,3
Jan,10,0,0.04,cloudy/misty,0.1642,3
Jan,11,0,0.06,cloudy/misty,0.1343,4
Jan,12,0,0.06,cloudy/misty,0.1045,10
Jan,13,0,0.08,clear,0,12
Jan,14,0,0.1,clear,0.1045,11
Jan,15,0,0.12,clear,0,10
Jan,16,0,0.12,clear,0.194,11
Jan,17,0,0.12,clear,0,8
Jan,18,0,0.08,clear,0.194,0
Jan,19,0,0.08,clear,0.1343,6
Jan,20,0,0.06,clear,0.1642,1
Jan,21,0,0.06,clear,0.0896,0
Jan,22,0,0.06,clear,0,7
Jan,23,0,0.04,clear,0.1045,2
Jan,0,0,0.04,clear,0.1045,2
Jan,1,0,0.04,clear,0.1045,1
Jan,2,0,0.02,clear,0.1343,3
Jan,3,0,0.02,clear,0.1343,1
Jan,5,0,0.04,cloudy/misty,0.1045,0
Jan,6,0,0.04,cloudy/misty,0.1045,0
Jan,7,0,0.08,clear,0.1642,1
Jan,8,0,0.06,clear,0.1642,2
Jan,9,0,0.1,clear,0.3582,3
Jan,10,0,0.14,clear,0.3881,7
Jan,11,0,0.14,clear,0.2239,22
Jan,12,0,0.16,clear,0.4627,24
Jan,13,0,0.14,clear,0.3881,12
Jan,14,0,0.16,clear,0.3582,17
Jan,15,0,0.16,clear,0.3582,13
Jan,16,0,0.16,clear,0.3284,9
Jan,17,0,0.14,clear,0.3881,5
Jan,18,0,0.12,clear,0.2537,5
Jan,19,0,0.12,clear,0.2836,5
Jan,20,0,0.1,clear,0.2537,4
Jan,21,0,0.1,clear,0.194,5
Jan,22,0,0.08,clear,0.194,5
Jan,23,0,0.06,clear,0.2239,4
Jan,0,1,0.06,clear,0.194,0
Jan,1,1,0.04,clear,0.194,0
Jan,3,1,0.04,clear,0.2537,0
Jan,4,1,0.02,clear,0.1343,0
Jan,5,1,0.02,clear,0.1343,0
Jan,6,1,0.02,clear,0.0896,0
Jan,7,1,0.02,clear,0,5
Jan,8,1,0.04,clear,0,6
Jan,9,1,0.06,clear,0,4
Jan,10,1,0.1,clear,0,6
Jan,11,1,0.1,clear,0.1343,3
Jan,12,1,0.12,cloudy/misty,0.194,11
Jan,13,1,0.14,cloudy/misty,0.2239,6
Jan,14,1,0.14,cloudy/misty,0.2239,2
Jan,15,1,0.16,clear,0.1642,7
Jan,16,1,0.16,clear,0.2537,4
Jan,17,1,0.14,clear,0.2537,6
Jan,18,1,0.14,clear,0.194,8
Jan,19,1,0.14,clear,0.1642,5
Jan,20,1,0.14,clear,0.194,1
Jan,21,1,0.14,clear,0.1642,6
Jan,22,1,0.14,cloudy/misty,0.2239,3
Jan,23,1,0.16,cloudy/misty,0.2537,3
Jan,0,1,0.16,cloudy/misty,0.2836,3
Jan,1,1,0.16,cloudy/misty,0.1642,0
Jan,2,1,0.16,clear,0.2239,0
Jan,4,1,0.14,clear,0.1045,0
Jan,5,1,0.14,clear,0.2239,0
Jan,6,1,0.16,clear,0.1045,1
Jan,7,1,0.16,clear,0.2239,5
Jan,8,1,0.16,cloudy/misty,0.1343,5
Jan,9,1,0.2,cloudy/misty,0.0896,10
Jan,10,1,0.22,cloudy/misty,0.1045,6
Jan,11,1,0.24,cloudy/misty,0.1343,6
Jan,12,1,0.26,cloudy/misty,0.0896,21
Jan,13,1,0.26,cloudy/misty,0.1343,21
Jan,14,1,0.3,cloudy/misty,0,11
Jan,15,1,0.32,cloudy/misty,0,21
Jan,16,1,0.32,cloudy/misty,0,14
Jan,17,1,0.3,clear,0,14
Jan,18,1,0.3,cloudy/misty,0.0896,7
Jan,19,1,0.26,cloudy/misty,0.1642,13
Jan,20,1,0.24,clear,0.194,16
Jan,21,1,0.24,clear,0.194,5
Jan,22,1,0.22,clear,0.1642,4
Jan,23,1,0.22,cloudy/misty,0.1642,3
Jan,0,1,0.22,cloudy/misty,0.1343,3
Jan,1,1,0.24,cloudy/misty,0.1343,0
Jan,2,1,0.22,light rain/snow,0.194,3
Jan,5,1,0.2,light rain/snow,0.2836,0
Jan,6,1,0.2,light rain/snow,0.2836,0
Jan,7,1,0.22,light rain/snow,0.2985,1
Jan,8,1,0.22,light rain/snow,0.2985,3
Jan,9,1,0.22,light rain/snow,0.2985,3
Jan,10,1,0.22,light rain/snow,0.2836,2
Jan,11,1,0.22,light rain/snow,0.3284,6
Jan,12,1,0.22,light rain/snow,0.3284,7
Jan,13,1,0.22,light rain/snow,0.3284,4
Jan,14,1,0.22,light rain/snow,0.3582,0
Jan,15,1,0.22,light rain/snow,0.4627,1
Jan,16,1,0.22,heavy rain/snow,0.3284,1
Jan,17,1,0.2,light rain/snow,0.3582,0
Jan,16,1,0.22,clear,0.194,1
Jan,17,1,0.22,clear,0.1045,2
Jan,18,1,0.2,clear,0.0896,3
Jan,19,1,0.2,clear,0.0896,3
Jan,20,1,0.18,clear,0.0896,4
Jan,21,1,0.18,clear,0.0896,2
Jan,22,1,0.18,clear,0.0896,0
