Age,Experience,Income,Family,AvgAmt,Education,Subscriber
35,9,55,1,2,Bachelor,No
60,34,64,2,1.7,PhD,No
34,9,122,1,0,Bachelor,No
55,25,70,3,1.4,PhD,No
43,19,81,2,3.2,Bachelor,No
41,15,159,1,5.5,PhD,Yes
34,9,70,4,1.3,Bachelor,No
65,39,150,2,6.9,Bachelor,No
45,21,152,2,7.5,Bachelor,No
49,25,195,4,3,Bachelor,Yes
48,23,22,1,0.1,Bachelor,No
60,35,22,1,1.3,Bachelor,No
55,29,79,3,0.8,Bachelor,No
42,18,33,1,1.4,PhD,No
32,8,128,2,4.33,Bachelor,No
62,38,91,1,3.8,Bachelor,No
57,32,39,4,0.9,Bachelor,No
52,26,121,1,7.3,Bachelor,No
36,6,21,1,0.67,PhD,No
34,9,41,3,2.3,Bachelor,No
63,37,45,2,0.7,PhD,No
24,2,51,3,0.3,PhD,No
57,31,165,1,1.6,Master,Yes
40,16,119,2,4.2,Master,Yes
27,2,110,4,1.8,PhD,No
65,39,20,3,0.7,Master,No
60,34,64,1,0.8,Master,No
44,20,101,3,4.4,Master,Yes
63,39,101,1,3.9,Bachelor,Yes
59,34,99,1,4.4,Bachelor,Yes
56,30,158,4,6.1,Bachelor,Yes
54,28,89,1,1.9,Master,No
52,27,80,1,1.3,PhD,No
58,32,114,2,2,Bachelor,No
60,35,49,3,0.5,Master,No
28,4,191,1,6.33,Bachelor,No
54,30,78,4,1,Master,No
32,6,28,3,1,Bachelor,No
59,33,42,1,0.8,Master,No
63,38,140,1,2.5,Bachelor,No
48,23,45,1,1.3,Master,No
56,32,122,2,0.3,Bachelor,No
36,12,65,3,2.6,Master,No
57,27,68,1,1.4,PhD,No
29,3,153,2,2,Bachelor,No
39,13,89,4,1.4,Master,No
59,34,91,1,2.6,Bachelor,No
31,6,55,4,2,Master,No
43,19,118,2,3.3,Bachelor,No
35,5,22,1,0.67,PhD,No
54,24,63,3,1.4,PhD,No
51,27,12,4,0.5,Master,No
44,19,50,3,2.7,Master,No
25,0,43,2,1.6,PhD,No
40,15,173,4,6.6,Bachelor,Yes
26,2,60,2,3,Bachelor,Yes
39,14,113,1,1,PhD,No
28,4,155,4,5.3,Master,Yes
52,28,91,4,1,Master,No
53,29,55,4,1.1,Master,No
44,20,173,2,1.4,Bachelor,No
43,19,71,3,0.3,PhD,No
56,30,24,2,0.4,PhD,No
38,14,42,1,2,Master,No
30,6,141,2,4.33,Bachelor,No
32,6,32,1,1.9,PhD,No
35,10,55,4,1.3,Bachelor,No
43,19,153,2,7.5,Bachelor,No
58,32,113,2,1.4,Bachelor,No
25,0,30,2,1.7,Master,No
54,24,29,3,1,PhD,No
57,32,174,1,6.8,Master,Yes
50,24,35,1,0.3,PhD,No
32,8,98,2,2,Master,No
63,37,30,2,1,PhD,No
31,6,58,2,2.5,Bachelor,No
36,12,25,4,1,Bachelor,No
58,34,19,4,0.7,Bachelor,No
56,30,44,4,0.7,Master,No
49,25,20,4,1,Bachelor,No
30,5,98,2,3.1,Bachelor,No
33,7,90,3,1.6,Bachelor,No
45,21,61,3,0.7,Bachelor,No
30,5,40,4,2,Master,No
47,23,38,2,2.1,PhD,No
25,0,28,2,1.7,Master,No
63,33,34,1,1.5,PhD,No
55,29,73,2,2.3,PhD,No
65,41,133,4,2,Bachelor,Yes
44,18,53,1,0.2,Bachelor,No
51,25,21,4,0.6,PhD,No
35,9,40,3,0.9,Bachelor,No
30,5,41,4,1.7,Master,No
31,5,82,4,1.8,Master,No
54,30,100,4,3.4,PhD,Yes
45,20,155,1,7,Bachelor,No
45,19,45,1,0.2,Bachelor,No
58,32,9,3,0.3,PhD,No
54,29,48,4,1.8,PhD,No
53,28,18,4,0.1,PhD,No
33,9,80,4,3.4,Bachelor,No
60,35,64,2,2.8,Bachelor,No
50,24,29,4,0.1,Bachelor,No
26,2,48,3,0.7,Master,No
54,30,23,2,0.4,Bachelor,No
28,3,84,4,0.2,Bachelor,No
36,10,179,3,6.6,Bachelor,Yes
29,2,30,4,1.5,Master,No
54,28,93,1,4.9,Bachelor,No
55,30,39,2,1.9,Master,No
61,36,60,3,0.5,Master,No
36,11,133,1,3.8,Bachelor,No
45,19,125,1,2.4,Bachelor,No
64,40,58,1,1.8,PhD,No
60,36,89,2,2.8,Bachelor,No
49,22,82,1,2.67,Master,No
47,23,110,2,3.3,Bachelor,No
60,36,54,4,2.3,PhD,No
45,20,89,4,1.9,PhD,No
32,7,42,3,2.3,Bachelor,No
52,28,41,3,1.9,Master,No
35,8,38,4,1,Master,No
40,15,85,2,0.4,Bachelor,No
53,29,83,4,1,Master,No
27,0,33,4,1,PhD,No
58,33,50,4,2.1,Bachelor,No
47,22,58,4,3.6,PhD,No
28,3,115,4,3.1,Master,Yes
46,20,145,2,6.3,Bachelor,No
43,19,161,2,7.5,Bachelor,No
56,30,38,1,0.2,Bachelor,No
28,3,28,4,0.8,Bachelor,No
42,18,75,3,2.33,Bachelor,No
32,7,35,3,1.3,Bachelor,No
62,38,24,2,1,Bachelor,No
37,13,78,4,0.1,Master,No
51,26,113,1,1.3,PhD,No
39,13,75,3,2.1,Bachelor,No
43,17,91,1,5.7,Bachelor,No
52,28,31,4,0.2,Bachelor,No
30,6,45,1,1.8,Master,No
52,26,80,3,0.8,Bachelor,No
61,35,50,3,1.4,PhD,No
36,9,31,4,1,Master,No
58,32,113,2,3.8,Master,Yes
47,23,29,4,0.6,Bachelor,No
64,39,59,2,1.5,Bachelor,No
52,27,43,1,1.3,Master,No
58,28,122,1,3,PhD,Yes
48,24,29,1,1,Bachelor,No
64,40,91,2,0,PhD,No
58,32,65,3,2.2,PhD,No
47,23,22,1,1,Bachelor,No
49,23,71,1,1.4,PhD,No
31,4,60,4,2,Master,No
61,37,60,3,2,PhD,No
51,25,69,1,0.3,Bachelor,No
28,2,48,2,1.75,PhD,No
39,13,21,3,0.2,Master,No
54,28,53,4,2.8,Master,No
50,24,29,3,0.9,PhD,No
30,4,60,4,2.2,Master,No
64,39,42,3,0.5,Master,No
29,3,69,3,0.3,PhD,No
48,24,20,1,1,Bachelor,No
35,10,200,2,3,Bachelor,No
60,36,141,2,2.1,Bachelor,No
55,30,81,2,3.7,Bachelor,No
29,4,183,3,8.3,PhD,Yes
48,22,149,2,5.5,Master,Yes
43,19,83,4,3.6,PhD,Yes
66,42,35,1,1.9,Master,No
25,0,13,2,0.9,PhD,No
45,20,39,1,2.4,Bachelor,No
34,10,21,1,0.5,PhD,No
48,23,10,2,0.7,PhD,No
32,6,84,4,1.8,Master,No
50,24,30,4,0.1,Bachelor,No
43,19,31,4,0.3,Bachelor,No
64,39,182,1,1.2,Master,Yes
60,34,114,2,6.9,Bachelor,No
43,19,152,3,6.1,Master,Yes
60,34,53,1,0.8,Master,No
64,39,24,4,0.4,Master,No
44,20,150,2,3.3,Bachelor,No
60,36,132,2,6,Bachelor,No
54,29,68,3,1.6,PhD,No
33,9,53,1,1.2,Bachelor,No
56,32,173,1,4.6,Master,Yes
29,5,30,3,1,Master,No
25,1,113,2,0.2,Bachelor,No
60,34,15,1,0.8,Master,No
55,30,84,2,3.7,Bachelor,No
39,13,88,4,1.4,Master,No
37,13,43,3,2.8,Bachelor,No
53,28,43,2,2.1,PhD,No
34,10,90,2,2.7,Bachelor,No
42,18,34,4,0.3,Bachelor,No
60,36,38,4,1.3,Bachelor,No
50,24,173,1,1,Bachelor,No
41,17,160,2,8,Bachelor,No
25,0,44,4,0.6,Master,No
50,24,83,2,0.4,PhD,No
48,22,94,4,2.6,PhD,No
32,8,43,1,2.1,PhD,No
50,25,42,3,1.7,Master,No
59,33,34,2,0.3,Bachelor,No
50,26,39,3,1.9,Master,No
44,19,70,1,0.1,Master,No
31,5,39,4,1.8,PhD,No
40,10,44,3,2,PhD,No
36,12,69,3,3.1,Master,Yes
51,25,44,3,0.9,PhD,No
64,40,32,3,0.1,PhD,No
47,22,15,2,0.7,PhD,No
52,28,118,2,6.8,Bachelor,No
51,26,62,1,1.3,Master,No
31,5,82,4,2.2,Master,No
39,14,54,3,3,Bachelor,No
30,6,48,1,2.1,PhD,No
27,1,74,3,0.3,PhD,No
41,16,113,1,1,PhD,No
53,27,81,3,1.7,Master,No
54,27,43,3,1,Master,No
28,4,34,1,1.8,Master,No
34,9,48,1,2.5,PhD,No
61,37,54,4,1.2,Master,No
48,24,75,4,1.4,Master,No
36,11,72,1,2.8,Bachelor,No
56,31,39,4,0.9,Bachelor,No
24,1,75,4,0.2,Bachelor,No
64,38,79,2,2.8,Bachelor,No
26,2,205,1,6.33,Bachelor,No
33,8,65,2,0.1,Bachelor,No
64,39,122,4,0.2,Bachelor,Yes
39,15,82,1,0.8,Master,No
54,30,21,2,0.2,Bachelor,No
32,6,50,4,2.1,PhD,No
62,37,39,2,2.8,Bachelor,No
27,2,101,1,1.9,Bachelor,No
53,28,41,2,0.6,PhD,No
51,25,132,1,0.3,Bachelor,No
25,1,43,3,2.4,Master,No
44,20,131,1,4.9,PhD,Yes
31,5,11,1,0.4,Master,No
57,32,21,1,0.3,PhD,No
25,1,109,4,2.3,PhD,No
30,6,141,2,4.33,Bachelor,No
40,14,81,3,0.1,Bachelor,No
63,38,54,3,2.4,Bachelor,No
35,10,164,2,7.8,Bachelor,No
43,19,28,4,0.3,Bachelor,No
27,2,68,3,2.6,PhD,No
44,14,44,3,2,PhD,No
49,23,61,1,1.4,PhD,No
61,36,35,3,1.3,Master,No
60,34,54,3,0.3,Master,No
59,34,14,1,0.1,Bachelor,No
28,3,52,4,2.2,Bachelor,No
52,28,101,2,0.3,Bachelor,No
28,2,149,2,7.2,Bachelor,No
34,8,35,4,0.8,Bachelor,No
60,34,21,3,0.3,PhD,No
39,15,118,2,1.9,Bachelor,No
30,5,38,4,2,Master,No
49,25,24,4,0.2,Bachelor,No
43,18,59,1,3.7,PhD,No
63,33,41,4,1.67,PhD,No
28,3,85,1,0.8,Master,No
51,27,12,4,1,Bachelor,No
33,7,32,1,0.6,PhD,No
55,29,79,3,0.8,Bachelor,No
53,28,175,3,3.6,PhD,Yes
34,8,28,3,0.9,Bachelor,No
34,9,41,2,0.1,Bachelor,No
40,14,70,3,2.1,Bachelor,No
49,25,161,3,6.5,Master,Yes
35,9,53,4,2.2,Master,No
39,15,128,1,3.4,Bachelor,No
55,28,50,3,1,Master,No
29,5,80,2,2,Master,No
54,30,93,1,2.7,Master,No
25,1,48,3,0.3,PhD,No
52,28,149,2,6.8,Bachelor,No
46,19,49,3,2.5,Master,No
57,33,88,1,2.7,Master,No
52,22,22,4,0.4,PhD,No
28,3,55,4,2.2,Bachelor,No
44,18,72,1,0.7,PhD,No
24,1,38,2,1.7,Master,No
40,16,114,1,3.4,Bachelor,No
34,4,83,4,4,PhD,No
39,14,101,2,0.4,Bachelor,No
50,24,94,1,4.9,Bachelor,No
41,17,40,2,2.5,Bachelor,No
31,7,128,1,6,Bachelor,No
29,3,39,4,2.1,PhD,No
30,5,51,1,1,Bachelor,No
44,20,79,4,2,PhD,No
33,7,48,4,2.2,Master,No
50,26,85,1,0,Bachelor,No
42,18,41,1,1.8,Bachelor,No
48,22,152,1,3.5,PhD,Yes
24,2,125,2,7.2,Bachelor,No
56,31,11,2,0.2,PhD,No
28,4,103,2,2.5,Bachelor,No
56,30,141,2,0.5,Bachelor,No
58,32,38,1,1.4,Bachelor,No
29,5,135,2,0.6,Bachelor,No
63,38,28,2,0.5,Master,No
28,3,70,4,2.2,Bachelor,No
57,31,41,1,0.2,Bachelor,No
34,8,81,3,0.9,Master,No
28,3,170,1,0.1,PhD,Yes
27,2,55,4,1.7,Master,No
37,11,24,4,1.5,PhD,No
52,28,81,3,1.8,Master,No
49,23,32,4,1.8,Bachelor,No
65,40,129,1,1.3,Bachelor,No
60,35,108,1,0.9,Bachelor,No
37,12,180,1,8.6,Bachelor,No
63,37,139,2,6.9,Bachelor,No
40,14,33,2,1.4,PhD,No
46,20,74,4,2.6,PhD,No
63,37,42,2,0.7,PhD,No
57,27,73,1,3,PhD,No
33,8,115,4,2.9,Master,Yes
41,17,114,2,1.8,Master,No
41,17,92,2,1.9,Bachelor,No
44,19,34,1,0.3,PhD,No
33,6,54,2,1.67,Master,No
52,28,64,2,1,PhD,No
30,6,42,1,0.2,PhD,No
45,19,70,3,2.1,Bachelor,No
49,24,51,1,1.3,Master,No
45,19,71,4,2.9,Bachelor,No
32,7,35,3,1.3,Bachelor,No
45,18,40,3,1,Master,No
57,32,165,4,2.7,PhD,Yes
61,31,18,1,1.5,PhD,No
57,31,32,3,1.4,Bachelor,No
60,35,35,3,0.2,Bachelor,No
40,16,120,2,6.1,Bachelor,No
53,28,31,4,0.1,PhD,No
42,16,35,3,1.5,Bachelor,No
62,36,32,2,0.2,PhD,No
43,18,85,1,3.7,PhD,No
35,10,139,2,7.8,Bachelor,No
50,24,103,1,0.3,Bachelor,No
45,21,152,2,1.4,Bachelor,No
52,27,33,2,2,Master,No
35,9,84,4,2.2,Master,No
58,33,61,4,1.7,Bachelor,No
62,38,64,4,2.2,Bachelor,No
50,25,34,1,1.3,Master,No
25,1,82,4,2.1,PhD,No
47,22,122,1,5.1,PhD,Yes
28,4,58,3,1.5,Bachelor,No
34,9,92,1,2.8,Bachelor,No
49,23,78,2,2.4,Master,No
54,29,129,4,4.2,PhD,Yes
50,25,13,2,0.7,PhD,No
37,11,81,1,2.8,PhD,No
38,8,23,1,0.67,PhD,No
52,26,35,3,0.9,PhD,No
63,39,79,4,1.7,Master,No
39,14,165,2,3.3,Bachelor,No
63,38,52,2,2.8,Bachelor,No
65,41,185,3,2,Master,Yes
46,20,49,3,2.2,Master,No
54,30,64,1,1.8,PhD,No
54,24,61,4,2,PhD,No
52,26,112,1,2.4,Bachelor,No
63,39,72,3,2,PhD,No
66,41,18,3,0.5,Bachelor,No
56,29,41,4,2.5,Master,No
23,1,61,4,2.6,Bachelor,No
65,41,105,1,3,Master,Yes
51,27,23,1,0.2,Bachelor,No
34,10,22,1,0.5,PhD,No
49,23,59,3,2.1,Bachelor,No
29,2,33,1,2,Master,No
47,23,11,1,0.9,PhD,No
46,21,204,2,2.8,Bachelor,No
52,27,61,4,1.8,PhD,No
55,31,103,3,1.8,Master,No
61,36,51,3,1.5,Bachelor,No
34,9,164,1,6,PhD,Yes
58,34,12,1,0.1,Master,No
40,16,82,1,3.6,Master,No
43,17,164,1,2.4,Bachelor,No
35,8,48,2,1.67,Master,No
24,1,38,4,0.6,Master,No
48,22,65,2,1.5,Master,No
44,20,71,4,1.9,Bachelor,No
54,30,18,1,0.3,Bachelor,No
59,34,52,2,1.6,PhD,No
45,18,48,3,2.5,Master,No
26,2,30,1,1,PhD,No
40,15,40,2,2.2,PhD,No
32,7,112,1,3.8,Bachelor,No
29,4,115,1,1.9,Bachelor,No
51,27,63,2,1,PhD,No
42,17,85,1,3.7,PhD,No
64,38,59,1,2.5,PhD,No
44,20,68,1,0.8,PhD,No
37,11,84,2,1.8,Bachelor,No
44,19,62,3,0.8,PhD,No
35,9,109,3,4,Bachelor,Yes
41,17,141,2,7.6,Bachelor,No
56,32,129,1,7.4,Bachelor,No
62,36,30,3,0.7,Master,No
58,34,148,1,4.7,Bachelor,No
47,20,25,3,0.67,Master,No
35,10,21,3,1.3,Bachelor,No
29,4,72,4,2.2,Bachelor,No
43,17,59,3,0.9,PhD,No
62,37,83,3,1.8,Master,No
41,16,10,2,0.3,Master,No
34,9,84,3,0.6,Master,No
50,23,98,3,2,Master,No
47,23,32,1,1,Bachelor,No
29,5,31,4,0.4,Master,No
59,34,94,3,0.5,Bachelor,No
56,31,21,2,0.2,PhD,No
61,35,110,3,4.4,Bachelor,No
58,32,38,1,2.2,PhD,No
49,24,39,1,1.4,PhD,No
45,21,132,3,1.2,Master,Yes
50,24,61,4,2.6,Bachelor,No
64,38,92,1,2,Bachelor,No
39,15,119,2,6.1,Bachelor,No
58,33,53,4,2.1,Bachelor,No
62,37,18,3,1.3,Master,No
45,20,114,2,4.4,Master,Yes
58,28,90,1,3,PhD,No
43,18,140,1,7,Bachelor,No
28,3,90,2,3.3,Bachelor,No
26,1,85,1,1.9,Bachelor,No
49,24,80,1,1.2,Bachelor,No
66,42,53,2,1.1,Bachelor,No
33,7,49,4,2.2,Master,No
61,35,152,3,3.3,PhD,Yes
64,37,138,2,2.8,Master,Yes
36,10,80,4,2.2,Master,No
49,23,82,2,2.4,Master,No
52,27,195,1,8.1,Bachelor,No
61,37,22,1,1.2,PhD,No
32,6,81,1,2.5,Bachelor,No
61,37,40,4,2.2,Bachelor,No
45,20,154,2,2.8,Bachelor,No
30,4,49,3,1.1,Master,No
62,37,85,4,3.4,Master,No
57,32,21,3,0.1,Master,No
41,17,14,1,1,Bachelor,No
58,34,60,4,1.6,Master,No
29,5,138,2,4.33,Bachelor,No
53,28,98,1,1.3,PhD,No
64,39,22,4,0.6,Master,No
49,23,49,1,1.2,Master,No
